name,logFC,DE_class
HNRPDL,4.583081069320372e-6,NS
KSR1,-7.5302132998000815e-6,NS
GOLGA8F,9.160782445283289e-6,NS
LY86-AS,-2.1050876199524282e-5,NS
BRI3,2.1754083909364397e-5,NS
MGMT,2.2401733870580642e-5,NS
LRCH3,2.5501797231708423e-5,NS
RNF14,2.6547278055399914e-5,NS
FLJ16734,-3.106359935256542e-5,NS
NDFIP1,3.1807781603721e-5,NS
LEPR,-3.393001246920768e-5,NS
NBPF16,-3.450775035807041e-5,NS
SLC35F5,3.766322331744121e-5,NS
PNRC1,3.813496535132188e-5,NS
DNASE2,-4.019628120599528e-5,NS
SERPINB7,-4.263616783961588e-5,NS
SMCR7,4.303734800403802e-5,NS
FAM135B,4.41499901949749e-5,NS
ITGAD,5.834565599416308e-5,NS
ODAM,-6.083069879392333e-5,NS
GPRC5C,-6.312475585157351e-5,NS
WDR60,6.370019705803642e-5,NS
LIX1L,6.797579159179001e-5,NS
KRTAP19-3,7.160279990192642e-5,NS
CCDC124,-7.402796557220981e-5,NS
C3orf30,7.91422234183159e-5,NS
SOX8,8.722294697860455e-5,NS
KIF2A,-8.986503911123656e-5,NS
CD302,-9.125780094665359e-5,NS
C16orf62,9.154105192221706e-5,NS
DHX37,9.423147561715695e-5,NS
ZNF764,-9.780708783413417e-5,NS
SMARCA5,9.860846292353287e-5,NS
ARMCX2,-1.0120316886186309e-4,NS
LOC642648,1.0219593914406744e-4,NS
HIGD2A,1.0507290494343735e-4,NS
LUZP6,1.0633648342528446e-4,NS
MYH14,1.0825458988295011e-4,NS
ELF4,-1.0996888290359941e-4,NS
OR56A3,1.1244453738634697e-4,NS
BAZ2B,-1.153105026694412e-4,NS
FKTN,1.190281241565394e-4,NS
FKBP1B,1.1969587023763495e-4,NS
HS3ST3B1,1.2098882329780736e-4,NS
CENPB,-1.2123030822186465e-4,NS
SCAI,1.265029049961619e-4,NS
ADD1,-1.3320822870976912e-4,NS
BARX2,-1.3533233540519163e-4,NS
ZNF548,1.402875743237164e-4,NS
BTRC,-1.407008495637463e-4,NS
CDY1,-1.408034040573103e-4,NS
CRLF1,-1.4171901366744066e-4,NS
SEZ6L,-1.4493981090124564e-4,NS
TFCP2L1,1.451836995460809e-4,NS
CPXM1,-1.4987027760704486e-4,NS
TAF6,1.5203544606379182e-4,NS
SLC7A5P2,-1.534333008486044e-4,NS
UBE4B,-1.571432502682768e-4,NS
ZNF554,-1.6518381155794515e-4,NS
PIBF1,-1.7020954142754618e-4,NS
BRD4,-1.7313220278447616e-4,NS
CLEC2B,-1.7343236324118827e-4,NS
CTU1,-1.734453118675816e-4,NS
SLC1A3,1.8082672659303078e-4,NS
VWA3A,-1.8716098323356967e-4,NS
BZW1,-1.9311090946461107e-4,NS
NKX6-3,-1.936628789289685e-4,NS
RPL21,-1.9815889410779164e-4,NS
PRNT,2.0146261951337063e-4,NS
CCR5,2.0352514583255044e-4,NS
CHAC2,-2.1134863009941718e-4,NS
SPCS1,-2.137989121258066e-4,NS
TRIM73,2.1571524546626364e-4,NS
NEK8,2.204496242077525e-4,NS
ADAMTS6,-2.2115863178806539e-4,NS
FOXJ2,-2.2303029576731248e-4,NS
FTHL17,-2.251177007590588e-4,NS
PROK1,-2.2572223813432934e-4,NS
SGMS2,2.2679656896751332e-4,NS
OR4C13,-2.2917129858357477e-4,NS
FKRP,2.337717329523592e-4,NS
DNAJA2,-2.3638230779865488e-4,NS
C12orf28,2.383746544587506e-4,NS
PDPN,-2.4036344535516285e-4,NS
GP1BB,2.4142635986867944e-4,NS
KLHL9,-2.4429368004907914e-4,NS
NINJ1,-2.464629930796214e-4,NS
MMGT1,-2.467987332561705e-4,NS
KAZALD1,-2.4712071853949524e-4,NS
ZNF746,2.4812456991130105e-4,NS
DIO1,-2.492496887329665e-4,NS
NIPA1,-2.529994747086928e-4,NS
IMPG1,2.554285482905261e-4,NS
AIFM3,2.5736448976787507e-4,NS
PYCRL,-2.584536400922488e-4,NS
GTPBP6,-2.5926507230544793e-4,NS
HAS3,2.6426233225285145e-4,NS
DECR1,2.6584867248891086e-4,NS
SERPINB10,2.7461587380073205e-4,NS
DDX31,2.7602235312218504e-4,NS
CNST,-2.7654079318883973e-4,NS
SCNN1B,-2.793213842204878e-4,NS
CCDC113,2.7993771225287567e-4,NS
FAM76B,2.8635607491400705e-4,NS
ZNF189,2.8981729862920247e-4,NS
RNF166,-2.9193609016164856e-4,NS
PCBD2,2.969878502163681e-4,NS
SYNCRIP,3.0577887048188757e-4,NS
OBFC1,3.058007951739494e-4,NS
CENPK,-3.0694810662923455e-4,NS
RALBP1,-3.0782854491873124e-4,NS
C17orf71,-3.1029365145229804e-4,NS
ELANE,3.1501240825493326e-4,NS
FARP2,3.160053277087016e-4,NS
UBE2Q2P1,3.205138685657971e-4,NS
C7orf50,3.2395817692698614e-4,NS
NEDD8,3.290896524581477e-4,NS
SLA2,3.319763419717958e-4,NS
CKB,-3.321598765131384e-4,NS
TUFM,3.3246816769860743e-4,NS
C1orf125,-3.339213890132253e-4,NS
ABCC2,3.3446448727558753e-4,NS
PRAMEF13,3.387106235478443e-4,NS
OSGIN1,-3.431456538602884e-4,NS
C11orf41,3.455985110025761e-4,NS
C20orf106,-3.4560258737026395e-4,NS
LOC100131510,3.499519422398567e-4,NS
PRKAB2,-3.507668837192668e-4,NS
KCNA5,-3.515442432904248e-4,NS
GPSM3,-3.52802991058887e-4,NS
C10orf12,-3.5505614010311604e-4,NS
FAM100A,-3.5921342291578284e-4,NS
CLVS1,3.6090610417116586e-4,NS
MBLAC1,-3.670693968871319e-4,NS
ARL5A,-3.673822392422643e-4,NS
RPL27,3.681829165551598e-4,NS
OXCT1,-3.7023065212138384e-4,NS
IL17B,-3.70775901165743e-4,NS
ALOX15,3.7094868223030986e-4,NS
GDF10,3.7136601287990345e-4,NS
MPV17L,3.7654176297285957e-4,NS
RPRM,-3.7732430114756355e-4,NS
APOE,3.821514902644374e-4,NS
KIR2DL2,-3.83895938064871e-4,NS
SFI1,-3.839045839835187e-4,NS
KRTAP6-1,-3.8979655052240325e-4,NS
KNG1,3.9035123597719323e-4,NS
AQP5,-3.972160743537234e-4,NS
MCM5,3.9925855007871824e-4,NS
CHD1,4.036551399235755e-4,NS
DDX53,4.0628426480859847e-4,NS
OR3A2,4.086212837595138e-4,NS
NOXA1,-4.090477417451055e-4,NS
LTBP3,-4.1038535204140913e-4,NS
KNDC1,-4.1427694252527125e-4,NS
SENP1,-4.1677728144606796e-4,NS
LIPJ,-4.255227498359271e-4,NS
DNAJA4,-4.303216480368022e-4,NS
UXT,4.307035237376411e-4,NS
LRRC52,4.321445028158122e-4,NS
CTNNBIP1,4.356647263010771e-4,NS
BTN2A1,4.3702498716235993e-4,NS
ZSWIM3,-4.370790742813657e-4,NS
GPR172A,4.4104948352829965e-4,NS
TRIM11,4.42118302500516e-4,NS
BASP1,-4.4224789556190913e-4,NS
OR13D1,-4.425431963037685e-4,NS
OR5AR1,4.498122791982695e-4,NS
CRHBP,-4.499074793506974e-4,NS
ODZ4,4.5209407210355934e-4,NS
GPR150,4.52982865645879e-4,NS
FBXO5,4.5389680089202855e-4,NS
UBQLN4,-4.559331691238455e-4,NS
TREML2,4.579500296522099e-4,NS
CRMP1,-4.6015547846822713e-4,NS
TSEN2,4.62663506214378e-4,NS
C3orf51,4.725844489249509e-4,NS
GTF2A1,4.755715584692233e-4,NS
SEPT14,-4.7557983389001635e-4,NS
DNAJC16,4.821498931271151e-4,NS
CYB561D1,4.905489401985097e-4,NS
KRTAP1-1,-4.924770424312719e-4,NS
MSX2,-5.109356144032962e-4,NS
EGFLAM,5.129438213404836e-4,NS
LOC100293160,5.191211268441576e-4,NS
C7orf23,5.196712274100346e-4,NS
SPATA12,-5.197926224913552e-4,NS
ELTD1,-5.241165183034191e-4,NS
NOTCH1,5.248674937532449e-4,NS
LOC154872,5.249395250637168e-4,NS
DEFA5,-5.336304714236295e-4,NS
C8orf46,-5.402140320907023e-4,NS
C2orf58,-5.414204200118178e-4,NS
CCDC126,5.432933963480657e-4,NS
TSR1,5.461944807394481e-4,NS
ETHE1,5.516951440664997e-4,NS
LGALS17A,-5.524957380109718e-4,NS
OGT,-5.563913138764143e-4,NS
ATXN7L2,-5.607328453871574e-4,NS
LILRB3,-5.611104554779089e-4,NS
NEURL,5.685259717156388e-4,NS
MAD2L1,5.727473917401804e-4,NS
FAM21C,-5.797454869123086e-4,NS
PAFAH1B3,5.807314590509094e-4,NS
ASB12,-5.808376032223617e-4,NS
LAMC3,5.852447717646925e-4,NS
XRCC4,-5.854008837792302e-4,NS
LOC389458,-5.866044984379482e-4,NS
OR13C4,-5.923907990443844e-4,NS
ATP4A,-5.93540324465458e-4,NS
NAE1,5.979912160900547e-4,NS
DARC,5.980383520598487e-4,NS
COG8,-5.982325250077913e-4,NS
RARS2,5.996514706687606e-4,NS
TPX2,6.068604687843315e-4,NS
ANGPTL4,-6.078197376635508e-4,NS
KIAA1958,-6.080665729564227e-4,NS
SLC4A1,6.083809348982339e-4,NS
EXOSC5,6.119020415478182e-4,NS
ASPM,-6.120452405447008e-4,NS
GPR155,-6.186417759566076e-4,NS
TEX12,6.22057110981955e-4,NS
EFCAB4B,6.223715016746567e-4,NS
TIPRL,-6.226850258737038e-4,NS
CCDC87,6.245232447934512e-4,NS
PLB1,-6.262692661473945e-4,NS
TNNC2,6.284337428501541e-4,NS
RPL15,-6.284913908105594e-4,NS
OR4D10,-6.326111872609896e-4,NS
NCF4,6.357360374009691e-4,NS
CYS1,6.403936140002564e-4,NS
ZNF550,-6.4733510193693e-4,NS
GOLIM4,6.5476936434683e-4,NS
PHC1,-6.562207648572738e-4,NS
SEC61A1,-6.562772879665779e-4,NS
LYRM5,6.696099895977525e-4,NS
CCT5,-6.700105309449533e-4,NS
TAF15,-6.700254827620711e-4,NS
RALY,6.70858218483783e-4,NS
NDEL1,6.724731100047343e-4,NS
DBNDD1,-6.765191067077403e-4,NS
CCDC97,6.792477247969941e-4,NS
GPS2,-6.88503009050212e-4,NS
SGTB,-6.888928932335947e-4,NS
ATP5J2,-6.957800529172609e-4,NS
RAD50,6.964871597663347e-4,NS
KLHL21,-6.968298060823219e-4,NS
GRM1,-7.055177781443156e-4,NS
IL1F7,-7.073160485598917e-4,NS
RN28S1,7.075488933367957e-4,NS
TUBA1B,-7.087680892987613e-4,NS
OR10V1,7.139958050037531e-4,NS
TK2,-7.166076947604516e-4,NS
TMEM55A,-7.168187581978458e-4,NS
BANF1,-7.182307627915385e-4,NS
IRX5,7.205199398776507e-4,NS
PRMT3,-7.226622617706457e-4,NS
FMR1NB,7.233437421363398e-4,NS
SPATA18,7.270513989261485e-4,NS
FXYD3,-7.279735171019652e-4,NS
RGS19,-7.292620499059765e-4,NS
RYR3,-7.301659081648815e-4,NS
KIAA1429,-7.324002132140794e-4,NS
AGXT2L2,-7.348235243869183e-4,NS
SLC35A2,7.368601804522701e-4,NS
CANX,-7.390229418260397e-4,NS
RFWD3,-7.401531793382876e-4,NS
C2orf49,-7.407867480053731e-4,NS
POU4F2,7.425382289039106e-4,NS
AK3,-7.432940114218134e-4,NS
CRIM1,7.483518874256134e-4,NS
RPSAP15,7.510467636331342e-4,NS
MUS81,-7.51718467382867e-4,NS
TAX1BP1,7.520428246658994e-4,NS
DMRT3,-7.564522150818043e-4,NS
BTN3A2,7.584248116150327e-4,NS
C8orf77,7.624385811157985e-4,NS
WDR65,7.627410496400255e-4,NS
RARG,-7.665700813639376e-4,NS
BRP44L,-7.716259495111899e-4,NS
ZNF784,7.740602630819104e-4,NS
CHD5,-7.747029914422221e-4,NS
DGKZ,-7.754440057530232e-4,NS
MARCH10,-7.788683326678258e-4,NS
C16orf72,-7.838999822178394e-4,NS
PCBP2,7.849332844411805e-4,NS
CALML4,7.894268913424263e-4,NS
AGR3,-7.929263165666889e-4,NS
DYNC1H1,7.986289169261696e-4,NS
PTK2,8.007942495211751e-4,NS
FZD4,8.07854376417616e-4,NS
NME6,8.134418562546486e-4,NS
TLCD1,8.157390730620939e-4,NS
RASA2,-8.184086983571426e-4,NS
OR10K1,-8.190008411645966e-4,NS
C2orf47,-8.210577132052865e-4,NS
PKP1,8.22185439160128e-4,NS
PRX,-8.229431333144355e-4,NS
GJC1,8.236868732489633e-4,NS
TBC1D10B,-8.256119014640184e-4,NS
SNORA38B,-8.336774736577013e-4,NS
