"gene","log2FC","pvalue","negLog10P","significance"
"C1orf64",4.00868338812366e-06,0.999974337962163,1.11450244297983e-05,"NS"
"MLL4",-1.41647195346373e-05,0.999718247691496,0.00012238071418102,"NS"
"NEIL1",-1.85299149013662e-05,0.999696766697111,0.000131712520994856,"NS"
"GABRG2",-3.30814924003331e-05,0.999803889215413,8.51781840410394e-05,"NS"
"URM1",4.55786074100573e-05,0.998964341164297,0.000450013988205983,"NS"
"BAIAP2L2",4.84982438744286e-05,0.999200945426852,0.000347163711712611,"NS"
"THEM5",5.39251906253035e-05,0.999775804907678,9.73776076639654e-05,"NS"
"RIOK3",5.54563489938431e-05,0.9988278854142,0.000509341458395123,"NS"
"SMEK1",5.59387736358552e-05,0.999442831281646,0.000242042735454067,"NS"
"MEI1",-5.59662721442145e-05,0.99944128124603,0.000242716283170614,"NS"
"EFR3A",-5.68910278087031e-05,0.999646318287464,0.00015362918562297,"NS"
"C6orf26",5.73422796934508e-05,0.998601081948057,0.000607967738333359,"NS"
"SCAMP2",5.95279146478056e-05,0.999147367137025,0.000370451699578059,"NS"
"NDUFS1",6.94182919223074e-05,0.997292798346355,0.00117731707696171,"NS"
"RPL13A",-7.59336053390847e-05,0.997508162831824,0.00108354169804343,"NS"
"ZNF518A",-7.83657962069029e-05,0.999008747428721,0.000430709027879267,"NS"
"TMC6",-7.93968142096535e-05,0.999131371051882,0.000377404695050763,"NS"
"AP1G1",-8.09610536616212e-05,0.997069268906248,0.00127466911186257,"NS"
"PIH1D1",8.7515862159826e-05,0.999076412572514,0.000401294267021281,"NS"
"CYB5R4",8.92938306014113e-05,0.998898105232077,0.000478810665303545,"NS"
"HLA-B",9.39118855098897e-05,0.997679193580109,0.00100908482043807,"NS"
"LOC100129113",-9.60559883393941e-05,0.997717918300035,0.000992228093444998,"NS"
"BRD1",9.90888823038105e-05,0.998029858064287,0.000856465728071186,"NS"
"CCDC63",0.000102500341254919,0.998952477876622,0.000455171520617279,"NS"
"ARCN1",0.000106506125205463,0.997276845183242,0.00118426431064858,"NS"
"FKBP7",-0.000112616711617219,0.997886851207324,0.000918699877092668,"NS"
"MBLAC2",-0.000136189294724698,0.997740377054043,0.000982452180854543,"NS"
"C3orf14",0.000137758007727307,0.999453911696576,0.00023722791640129,"NS"
"GSX1",0.000139578869895907,0.997662402775977,0.00101639399857078,"NS"
"ACHE",0.000149744902588234,0.999259764682649,0.000321599157853246,"NS"
"C2CD2L",-0.00015308730038277,0.997065830948402,0.0012761665892618,"NS"
"PDZRN4",0.000156562276437899,0.999085581393736,0.000397308635751659,"NS"
"SDF2L1",-0.000164324964339713,0.998858015162151,0.000496241117371963,"NS"
"ACAD8",0.000175011642847611,0.997529801535375,0.00107412075496771,"NS"
"IL20RA",-0.000176355199207778,0.998365153914323,0.000710585641243736,"NS"
"RGS5",0.000179702617633115,0.998292116226982,0.000742358610066854,"NS"
"GGT1",0.00018726015653181,0.996195545981535,0.00165540434220799,"NS"
"MRPL53",-0.00018750735613704,0.997696025859464,0.0010017577112605,"NS"
"KRT17",-0.000192827322544886,0.998771712007579,0.000533766573981737,"NS"
"KLHDC5",-0.000195131992987374,0.99751748228515,0.0010794842192196,"NS"
"PPP2R5A",0.000195353104990081,0.998698524312363,0.000565591841374277,"NS"
"CAPZA3",-0.000204606764992454,0.999275106617646,0.000314931355547904,"NS"
"CD248",0.00021261010876783,0.996630980793131,0.00146561668495462,"NS"
"C20orf195",0.000212801508840288,0.996783820225473,0.00139902008681642,"NS"
"LRRN4CL",0.000220899509082439,0.996007386930084,0.00173744060132439,"NS"
"MDM2",-0.000229518441722032,0.994594133798184,0.00235410660247824,"NS"
"RRAS2",-0.000232533985234706,0.991537986865558,0.00369064286051968,"NS"
"C7orf60",0.000233667910244595,0.9981083081521,0.000822329373347847,"NS"
"LEPREL2",0.000236782271334723,0.998319718602664,0.000730350708242371,"NS"
"NPIPL3",-0.000238022814202932,0.992800291172909,0.00313810413748036,"NS"
"RHOF",0.000241050238831697,0.997450910454069,0.00110846891792951,"NS"
"NEBL",-0.000243868174946815,0.995914593026316,0.00177790391343701,"NS"
"MTNR1B",0.000245972811559803,0.998255101034252,0.000758461904606597,"NS"
"CAMP",0.000247108616421299,0.997067462478775,0.00127545594003841,"NS"
"MARVELD3",-0.000251915730704599,0.998044275841381,0.000850191851839194,"NS"
"LOC100128840",0.000253760349574028,0.997240290887991,0.00120018328013941,"NS"
"MGRN1",-0.000254208972745307,0.996550806627993,0.00150055499088268,"NS"
"ZNF667",-0.000257566877492899,0.997189278815517,0.00122239941845533,"NS"
"CD164L2",-0.000267806205200172,0.997474773376007,0.00109807902180013,"NS"
"KIR2DS4",0.000269730964295167,0.996452756284299,0.00154328720074112,"NS"
"HCG4",0.000269773265749507,0.997011047222911,0.00130002953050058,"NS"
"FUS",-0.000269797406179606,0.996854709121738,0.00136813519365645,"NS"
"YKT6",-0.000275598972183655,0.996975462525005,0.0013155303755331,"NS"
"ND4",0.000276835933148867,0.986115029462333,0.00607242202944431,"NS"
"CCDC28A",0.000279979424401278,0.997244260469933,0.00119845454523246,"NS"
"DCAF16",-0.00028226673657894,0.996695751155715,0.00143739310211703,"NS"
"SLC1A5",0.000292461722800841,0.996012996318133,0.00173499471643576,"NS"
"SEC14L2",-0.000293380852612657,0.997876200362272,0.000923335300351113,"NS"
"PRKACA",-0.000298248849034621,0.997306482444532,0.00117135805713714,"NS"
"LOC100128751",-0.000299562926454389,0.995795688107972,0.00182975859376722,"NS"
"C11orf24",0.000304046115660483,0.994157692744495,0.00254472258764695,"NS"
"FAM101B",0.000306939360862124,0.989969170716729,0.00437832984293622,"NS"
"SNX15",0.000320794958218906,0.995008028822351,0.00217341487319409,"NS"
"C5orf44",-0.000321205665302138,0.997340010687826,0.0011567578449173,"NS"
"CASP7",0.000323046713800679,0.996638868838292,0.00146217938369112,"NS"
"BTBD3",-0.000329785423506479,0.997656731852063,0.00101886262719311,"NS"
"ANAPC4",-0.000339671371438977,0.995430810865479,0.00198892097418185,"NS"
"KRTAP10-9",-0.000343977279860574,0.994731073479182,0.00229431532482568,"NS"
"KIF12",0.000351029456440832,0.992517136203594,0.00326198623294266,"NS"
"PRKAR2B",-0.00035924300079504,0.996117468999192,0.00168944357435416,"NS"
"PTPN11",-0.000361047493806055,0.995624296064899,0.00190451391341265,"NS"
"PWWP2B",0.00036216549046042,0.994595623849234,0.00235345596475364,"NS"
"STARD3NL",0.000368643258738421,0.995958392638927,0.00175880437224514,"NS"
