"gene","log2FC","negLog10P","significance"
"DYNC1LI2",3.54448661088469e-06,0.000108221220200755,"NS"
"MIR129-2",1.1563994571917e-05,0.000120143346650585,"NS"
"KRTAP4-9",-1.26350872444725e-05,0.00039913360195096,"NS"
"FIBCD1",-1.30364225019441e-05,0.000404182127123444,"NS"
"ATG5",-1.60580255001985e-05,0.000266739060169047,"NS"
"CHMP5",1.8098294134461e-05,0.000247724097116581,"NS"
"OS9",2.47226485003971e-05,0.000629156658461881,"NS"
"PIGZ",-3.11888129198579e-05,0.000591702537427676,"NS"
"SCARNA10",-3.42977655227727e-05,0.000994378453602292,"NS"
"ABHD15",-3.86290385228083e-05,0.000733016883089487,"NS"
"ZFYVE9",4.33763462326375e-05,0.000570539355034249,"NS"
"DOCK6",-4.47299920043331e-05,0.000890549956706935,"NS"
"FAM175B",-4.66156399396844e-05,0.000739618982430812,"NS"
"ARPC5",4.96627079717982e-05,0.00152587440827597,"NS"
"SEPT9",-5.17318856605442e-05,0.00112907718005515,"NS"
"ARMCX5",-5.53406937244816e-05,0.000937210294524282,"NS"
"NTHL1",6.11457940475901e-05,0.00113411594282651,"NS"
"ZNF354A",-6.20014388281742e-05,0.000974289211806851,"NS"
"GRPEL2",6.35999238063345e-05,0.00103261562290039,"NS"
"KPNA1",-6.5919664741898e-05,0.00139940126280896,"NS"
"TMEM131",6.76234610268445e-05,0.00153372219063026,"NS"
"SAP30",-7.26485734718896e-05,0.00137226223159266,"NS"
"ZSWIM4",-7.55445880378236e-05,0.00148246412484564,"NS"
"KIAA1919",7.96961780380467e-05,0.00102216579155116,"NS"
"FAM122C",8.01854726912854e-05,0.00123208439837217,"NS"
"GAS8",-8.2792064258097e-05,0.00106009692417014,"NS"
"WDR83",-8.29209885246929e-05,0.00224577554814064,"NS"
"JAG2",8.40323634123674e-05,0.00223819286063863,"NS"
"CEACAM19",-8.68768290944733e-05,0.00150845567781962,"NS"
"LOC653075",-8.70077104764277e-05,0.000876092745560451,"NS"
"HIC1",-9.19358232498446e-05,0.00212754671968598,"NS"
"NDRG4",9.28427971669255e-05,0.00211894883061694,"NS"
"CCDC55",-9.33559735694089e-05,0.00161541293027337,"NS"
"ZBTB17",-9.81071471477524e-05,0.00297891194653382,"NS"
"FAM83F",-9.87270899515114e-05,0.00177818077076748,"NS"
"LCE1D",9.89692993504931e-05,0.00341409996211387,"NS"
"MCRS1",-0.00010210980663361,0.00173056968011465,"NS"
"C17orf70",-0.000102855523784973,0.00218625080897051,"NS"
"IL1F10",-0.000111473749032642,0.00135889635392439,"NS"
"MRPS18A",-0.000120020178638658,0.00164495587051216,"NS"
