#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AAK1	AGTR1	9606.ENSP00000386456	9606.ENSP00000398832	0	0	0.500	0	0.499
ABCC4	BMPR1B	9606.ENSP00000494609	9606.ENSP00000401907	0	0	0	0.437	0.437
ABCC9	ATP1B1	9606.ENSP00000261200	9606.ENSP00000356790	0	0	0.540	0	0.540
ABCC9	PLN	9606.ENSP00000261200	9606.ENSP00000350132	0	0	0.540	0	0.540
ABCC9	ATP1A2	9606.ENSP00000261200	9606.ENSP00000354490	0	0	0.540	0	0.540
ABCC9	FXYD1	9606.ENSP00000261200	9606.ENSP00000481244	0	0	0.540	0	0.540
ABCE1	PELO	9606.ENSP00000296577	9606.ENSP00000274311	0	0.419	0	0	0.418
ABCE1	LRRK2	9606.ENSP00000296577	9606.ENSP00000298910	0	0.457	0	0	0.457
ABCG2	LYVE1	9606.ENSP00000498246	9606.ENSP00000256178	0	0	0	0.618	0.618
ACACA	ACACB	9606.ENSP00000483300	9606.ENSP00000341044	0	0.459	0.900	0.383	0.963
ACACA	MCCC2	9606.ENSP00000483300	9606.ENSP00000343657	0	0.241	0.585	0	0.671
ACACA	AKR1B10	9606.ENSP00000483300	9606.ENSP00000352584	0	0.292	0	0.405	0.560
ACACA	ACSL1	9606.ENSP00000483300	9606.ENSP00000422607	0	0	0	0.410	0.410
ACACA	ACLY	9606.ENSP00000483300	9606.ENSP00000466259	0	0	0	0.404	0.404
ACACB	HLCS	9606.ENSP00000341044	9606.ENSP00000382071	0	0.362	0	0.121	0.415
ACACB	ACLY	9606.ENSP00000341044	9606.ENSP00000466259	0	0	0	0.429	0.429
ACACB	HSD17B4	9606.ENSP00000341044	9606.ENSP00000411960	0	0	0	0.451	0.451
ACLY	LRRK2	9606.ENSP00000466259	9606.ENSP00000298910	0	0.457	0	0	0.457
ACOT1	FBP1	9606.ENSP00000311224	9606.ENSP00000408025	0	0	0.900	0	0.900
ACOX2	PEX10	9606.ENSP00000307697	9606.ENSP00000288774	0	0	0.500	0	0.499
ACSL3	ACSL4	9606.ENSP00000350012	9606.ENSP00000339787	0	0.413	0	0	0.412
ACSM1	GBP5	9606.ENSP00000301956	9606.ENSP00000359488	0	0.671	0	0	0.671
ACTA2	VCL	9606.ENSP00000224784	9606.ENSP00000211998	0	0	0.500	0.166	0.565
ACTA2	FLNA	9606.ENSP00000224784	9606.ENSP00000358866	0	0	0	0.410	0.410
ACTA2	RNF217	9606.ENSP00000224784	9606.ENSP00000428698	0	0.460	0	0	0.459
ACTA2	ACTN2	9606.ENSP00000224784	9606.ENSP00000355537	0	0.345	0	0.245	0.484
ACTA2	SORBS1	9606.ENSP00000224784	9606.ENSP00000360293	0	0	0.500	0	0.499
ACTA2	CAP2	9606.ENSP00000224784	9606.ENSP00000229922	0	0.488	0	0.088	0.513
ACTA2	LMOD1	9606.ENSP00000224784	9606.ENSP00000356257	0	0	0.500	0.091	0.526
ACTA2	CALD1	9606.ENSP00000224784	9606.ENSP00000354826	0	0	0.500	0.095	0.528
ACTA2	TPM2	9606.ENSP00000224784	9606.ENSP00000496494	0	0.081	0.500	0.115	0.557
ACTA2	CNN2	9606.ENSP00000224784	9606.ENSP00000456436	0	0.538	0	0.120	0.576
ACTA2	MYL9	9606.ENSP00000224784	9606.ENSP00000279022	0	0	0.900	0.115	0.907
ACTA2	MYH11	9606.ENSP00000224784	9606.ENSP00000379616	0	0.264	0.900	0.091	0.927
ACTA2	ACTC1	9606.ENSP00000224784	9606.ENSP00000290378	0	0.914	0.540	0	0.959
ACTA2	ACTG2	9606.ENSP00000224784	9606.ENSP00000386857	0	0.800	0.900	0	0.979
ACTC1	CAP2	9606.ENSP00000290378	9606.ENSP00000229922	0	0.498	0	0.088	0.523
ACTC1	MPC2	9606.ENSP00000290378	9606.ENSP00000271373	0	0	0	0.417	0.416
ACTC1	SVIL	9606.ENSP00000290378	9606.ENSP00000348128	0	0	0	0.408	0.408
ACTC1	FBXO40	9606.ENSP00000290378	9606.ENSP00000337510	0	0.422	0	0	0.422
ACTC1	CXorf21	9606.ENSP00000290378	9606.ENSP00000368245	0	0.431	0	0	0.431
ACTC1	IL23R	9606.ENSP00000290378	9606.ENSP00000321345	0	0.431	0	0	0.431
ACTC1	CFL2	9606.ENSP00000290378	9606.ENSP00000298159	0	0.095	0	0.445	0.476
ACTC1	ACTG2	9606.ENSP00000290378	9606.ENSP00000386857	0	0.800	0.540	0	0.904
ACTC1	TPM2	9606.ENSP00000290378	9606.ENSP00000496494	0	0.081	0.900	0.115	0.911
ACTG2	VCL	9606.ENSP00000386857	9606.ENSP00000211998	0	0	0.500	0.166	0.565
ACTG2	MYL9	9606.ENSP00000386857	9606.ENSP00000279022	0	0	0.900	0.115	0.907
ACTG2	CALD1	9606.ENSP00000386857	9606.ENSP00000354826	0	0	0.500	0.095	0.528
ACTG2	LMOD1	9606.ENSP00000386857	9606.ENSP00000356257	0	0	0.500	0.091	0.526
ACTG2	SORBS1	9606.ENSP00000386857	9606.ENSP00000360293	0	0	0.500	0	0.499
ACTG2	MYH11	9606.ENSP00000386857	9606.ENSP00000379616	0	0.097	0.900	0.091	0.910
ACTG2	TPM2	9606.ENSP00000386857	9606.ENSP00000496494	0	0.081	0.500	0.115	0.557
ACTN2	VCL	9606.ENSP00000355537	9606.ENSP00000211998	0	0.061	0	0.553	0.562
ACTN2	LRRC7	9606.ENSP00000355537	9606.ENSP00000309245	0	0	0.400	0	0.400
ACTN2	FLNC	9606.ENSP00000355537	9606.ENSP00000327145	0	0	0	0.618	0.618
ACTN2	GRIN2A	9606.ENSP00000355537	9606.ENSP00000332549	0	0	0.500	0	0.499
ACTN2	ANG	9606.ENSP00000355537	9606.ENSP00000336762	0	0.322	0	0.359	0.546
ACTN2	TOP2A	9606.ENSP00000355537	9606.ENSP00000411532	0	0	0	0.415	0.414
ACTN2	TPM2	9606.ENSP00000355537	9606.ENSP00000496494	0	0.440	0	0	0.440
ACTN2	DES	9606.ENSP00000355537	9606.ENSP00000363071	0	0	0.500	0	0.499
ACTN2	PDLIM1	9606.ENSP00000355537	9606.ENSP00000360305	0	0.527	0	0.088	0.550
ACTN2	MYH8	9606.ENSP00000355537	9606.ENSP00000384330	0	0.593	0	0.049	0.596
ACTN2	GRIN2B	9606.ENSP00000355537	9606.ENSP00000477455	0	0.287	0.400	0.816	0.914
ADAM22	CACNG4	9606.ENSP00000265727	9606.ENSP00000262138	0	0	0.500	0	0.499
ADAM9	FGFR2	9606.ENSP00000419446	9606.ENSP00000410294	0	0	0	0.400	0.400
ADAMTS5	TIMP3	9606.ENSP00000284987	9606.ENSP00000266085	0	0.292	0	0.600	0.704
ADD3	CAV1	9606.ENSP00000348381	9606.ENSP00000339191	0	0.127	0	0.436	0.486
ADD3	GBP2	9606.ENSP00000348381	9606.ENSP00000359497	0	0.570	0	0	0.570
ADD3	CRISP3	9606.ENSP00000348381	9606.ENSP00000389026	0	0.591	0	0	0.591
ADD3	ANKRD29	9606.ENSP00000348381	9606.ENSP00000468354	0	0.669	0	0	0.669
ADD3	ANK2	9606.ENSP00000348381	9606.ENSP00000349588	0	0	0	0.964	0.964
ADGRD1	RANBP2	9606.ENSP00000444425	9606.ENSP00000283195	0	0.513	0	0.144	0.565
ADGRD1	XPOT	9606.ENSP00000444425	9606.ENSP00000327821	0	0.413	0	0.243	0.536
ADGRD1	GNAL	9606.ENSP00000444425	9606.ENSP00000334051	0	0.366	0	0.115	0.414
ADGRD1	GNG2	9606.ENSP00000444425	9606.ENSP00000334448	0	0.800	0	0	0.800
ADGRF1	GNG2	9606.ENSP00000360299	9606.ENSP00000334448	0	0.800	0	0	0.800
ADGRL2	FLRT3	9606.ENSP00000359765	9606.ENSP00000339912	0	0.349	0	0.255	0.494
ADGRL2	FRMD6	9606.ENSP00000359765	9606.ENSP00000343899	0	0.749	0	0	0.749
ADGRL2	TENM1	9606.ENSP00000359765	9606.ENSP00000403954	0	0.749	0	0.228	0.798
ADGRL3	FLRT2	9606.ENSP00000422533	9606.ENSP00000332879	0	0.476	0	0	0.476
ADGRL3	FLRT3	9606.ENSP00000422533	9606.ENSP00000339912	0	0.963	0	0.924	0.997
ADGRL3	FRMD6	9606.ENSP00000422533	9606.ENSP00000343899	0	0.749	0	0	0.749
ADGRL3	SHANK2	9606.ENSP00000422533	9606.ENSP00000345193	0	0	0	0.405	0.405
ADGRL3	TENM1	9606.ENSP00000422533	9606.ENSP00000403954	0	0.749	0	0.519	0.874
ADH1A	DERA	9606.ENSP00000209668	9606.ENSP00000416583	0	0	0	0.415	0.414
ADH1A	ADH4	9606.ENSP00000209668	9606.ENSP00000424630	0	0	0.500	0	0.499
ADH1A	ADH6	9606.ENSP00000209668	9606.ENSP00000378359	0	0	0.500	0.117	0.539
ADH1A	ADH1B	9606.ENSP00000209668	9606.ENSP00000306606	0	0.300	0.900	0.623	0.971
ADH1B	DERA	9606.ENSP00000306606	9606.ENSP00000416583	0	0	0	0.433	0.433
ADH1B	ADH4	9606.ENSP00000306606	9606.ENSP00000424630	0	0	0.500	0	0.499
ADH1B	ADH6	9606.ENSP00000306606	9606.ENSP00000378359	0	0	0.500	0.356	0.664
ADH4	ADH6	9606.ENSP00000424630	9606.ENSP00000378359	0	0	0.500	0.362	0.667
ADRA1A	GNG11	9606.ENSP00000369960	9606.ENSP00000248564	0	0	0.500	0	0.499
ADRA1A	GNGT1	9606.ENSP00000369960	9606.ENSP00000248572	0	0	0.500	0	0.499
ADRA1A	GNG2	9606.ENSP00000369960	9606.ENSP00000334448	0	0.066	0.500	0	0.513
AGR2	FOXA1	9606.ENSP00000391490	9606.ENSP00000250448	0	0.292	0	0.287	0.473
AGR2	FASN	9606.ENSP00000391490	9606.ENSP00000304592	0	0.457	0	0	0.457
AGR2	EEF2	9606.ENSP00000391490	9606.ENSP00000307940	0	0.292	0	0.395	0.553
AGR2	MCCC2	9606.ENSP00000391490	9606.ENSP00000343657	0	0.457	0	0	0.457
AGR2	TXN	9606.ENSP00000391490	9606.ENSP00000363641	0	0.457	0	0	0.457
AGR2	ANXA1	9606.ENSP00000391490	9606.ENSP00000366109	0	0.457	0	0	0.457
AGR2	ENO1	9606.ENSP00000391490	9606.ENSP00000495530	0	0.457	0	0	0.457
AGR2	LDHA	9606.ENSP00000391490	9606.ENSP00000445175	0	0.457	0	0	0.457
AGTR1	KCNMA1	9606.ENSP00000398832	9606.ENSP00000286628	0	0	0	0.412	0.412
AGTR1	CCR2	9606.ENSP00000398832	9606.ENSP00000292301	0	0	0	0.422	0.422
AGTR1	CLU	9606.ENSP00000398832	9606.ENSP00000315130	0	0	0	0.406	0.406
AGTR1	PTGFR	9606.ENSP00000398832	9606.ENSP00000359793	0	0.322	0	0.354	0.543
AGTR1	KNG1	9606.ENSP00000398832	9606.ENSP00000493985	0	0	0	0.654	0.654
AIM2	IFI16	9606.ENSP00000357112	9606.ENSP00000357113	0	0	0	0.898	0.898
AKAP11	IQGAP2	9606.ENSP00000025301	9606.ENSP00000274364	0	0	0	0.810	0.810
AKR1B1	GJA1	9606.ENSP00000285930	9606.ENSP00000282561	0	0	0	0.408	0.408
AKR1B1	AKR1B10	9606.ENSP00000285930	9606.ENSP00000352584	0	0	0.900	0	0.900
ALDH1A2	ALDH2	9606.ENSP00000249750	9606.ENSP00000261733	0	0.478	0	0	0.478
ALDH1A2	AOX1	9606.ENSP00000249750	9606.ENSP00000363832	0	0	0.900	0	0.900
ALDH2	ALDH3A2	9606.ENSP00000261733	9606.ENSP00000345774	0	0	0.900	0	0.900
AMACR	PEX10	9606.ENSP00000371517	9606.ENSP00000288774	0	0	0.500	0	0.499
AMY2A	AMY2B	9606.ENSP00000481450	9606.ENSP00000354610	0	0.610	0.900	0	0.959
