gene,log2FC,pvalue,negLog10P,significance,|log2FC|
SNORD113-4,-0.664797775307423,2.42278653606347E-05,4.6156848484682,Down,0.664797775307423
TDRD1,0.471986878054312,1.91156177691004E-12,11.7186116621034,Up,0.471986878054312
CRISP3,0.415730492677103,1.18900614295896E-05,4.92481590160815,Up,0.415730492677103
ZNF204P,-0.378015501328774,1.50845534359181E-06,5.82146754218023,Down,0.378015501328774
LRRN1,0.37276045757685,1.29272815608935E-07,6.88849279199721,Up,0.37276045757685
BMP5,-0.364710611742215,0.00219923128832903,2.6577290944396,Down,0.364710611742215
ARHGEF38,0.355083418037221,1.13461396299777E-09,8.94515187614275,Up,0.355083418037221
SNORD114-2,-0.352166575022169,0.00577800806119829,2.23822185658468,Down,0.352166575022169
ERG,0.343965901278066,3.00625043044086E-08,7.52197484409895,Up,0.343965901278066
SLITRK6,-0.340243467925515,2.39425651474822E-06,5.62082932219538,Down,0.340243467925515
SLC14A1,-0.336926187367308,8.39897043422406E-11,10.0757739475262,Down,0.336926187367308
AMACR,0.333585663031474,6.94508260911736E-11,10.1583225841279,Up,0.333585663031474
SNORD78,0.318665418101905,3.51199744916088E-07,6.45444580820322,Up,0.318665418101905
SNORD115-38,0.314526720441287,0.00677930688554441,2.16881470601063,Up,0.314526720441287
SPINK1,0.311843287463355,0.000727584349716121,3.13811665114927,Up,0.311843287463355
SNORD13P1,0.306932030767684,0.0123321955648901,1.90895959681617,Up,0.306932030767684
KRT15,-0.301847468553379,4.02729827856437E-07,6.39498620353454,Down,0.301847468553379
GDEP,-0.30115669097498,0.00275179712387559,2.56038358759828,Down,0.30115669097498
WIF1,-0.299862768439572,0.000115771337541403,3.93639894914398,NS,0.299862768439572
NRK,-0.299658905754777,0.000208688060100067,3.68050239799249,NS,0.299658905754777
PLA2G7,0.299634170795505,1.26772704760419E-06,5.8969742436782,NS,0.299634170795505
NELL2,-0.293201447290174,0.000194017274296685,3.71215960100924,NS,0.293201447290174
CLDN8,0.292997233553252,2.88689311911589E-06,5.53956929462203,NS,0.292997233553252
STEAP4,0.291942674971239,3.97113251799178E-07,6.40108562014531,NS,0.291942674971239
GPR160,0.289819352465547,9.00460595272402E-08,7.04553528743101,NS,0.289819352465547
ATRNL1,-0.286579687233232,2.29320643408578E-05,4.63955684838872,NS,0.286579687233232
CPA6,-0.274969752261159,2.73886827105302E-05,4.56242885512484,NS,0.274969752261159
SNORD115-44,0.271863147705278,0.0008930761729841,3.04911149733114,NS,0.271863147705278
PAGE4,-0.27098732677063,5.81421008642133E-07,6.23550927980242,NS,0.27098732677063
LOC150527,-0.268946640635383,0.000358734237576958,3.44522717230322,NS,0.268946640635383
SCN7A,-0.264530438009117,5.01145351249833E-05,4.30003629391221,NS,0.264530438009117
OR51E2,0.264500376063824,0.000173571607774657,3.7605213136943,NS,0.264500376063824
GCNT1,0.262571753912308,7.99295890514459E-09,8.09729241989823,NS,0.262571753912308
F5,0.262568910205256,2.94729149030323E-08,7.53057690983384,NS,0.262568910205256
AGR2,0.261749669823704,6.37528591783176E-07,6.19550033328583,NS,0.261749669823704
C7,-0.260935356178528,7.62882210050503E-05,4.11754251246992,NS,0.260935356178528
ANGPT1,-0.259612863090543,3.77486635053939E-05,4.42309841999526,NS,0.259612863090543
NEFH,-0.256918257348048,1.80796224709846E-05,4.74281064247127,NS,0.256918257348048
KIAA1244,0.256869354557246,1.49491481278249E-09,8.82538355475934,NS,0.256869354557246
AGR3,0.256537333729127,0.000124161986075695,3.90601134912377,NS,0.256537333729127
ZNF350,0.256448731854785,1.76959649509354E-06,5.7521257505489,NS,0.256448731854785
ASPA,-0.254492040221981,0.000820182926448474,3.08608927555864,NS,0.254492040221981
CRYAB,-0.254429289068136,1.95534260572299E-10,9.70877713661138,NS,0.254429289068136
CENPN,0.253319605402755,1.95742618708859E-09,8.70831460584449,NS,0.253319605402755
CACNA1D,0.252464819377156,2.02332284813878E-08,7.6939348142246,NS,0.252464819377156
C18orf34,-0.251819882345221,0.000772783996699636,3.11194188014459,NS,0.251819882345221
CYP4Z2P,-0.251560536329853,0.00030851691570633,3.51072101900022,NS,0.251560536329853
DNAH5,0.250329043753186,5.82515004377071E-06,5.23469288363372,NS,0.250329043753186
FLRT3,-0.250321779468319,1.82324257927546E-06,5.73915554537022,NS,0.250321779468319
IGF1,-0.249537670724668,1.09051381246817E-05,4.96236882926848,NS,0.249537670724668
SNORD113-3,-0.249155310451489,0.00350801238039854,2.45493888260096,NS,0.249155310451489
FOLH1B,0.248885820683466,9.90709258419797E-06,5.00405377840056,NS,0.248885820683466
KCNH8,0.247063917077353,1.69547222602718E-07,6.77070932011882,NS,0.247063917077353
TP63,-0.246914858996353,9.89657696487978E-07,6.00451499351644,NS,0.246914858996353
MAL2,0.246605715228824,3.10063715837222E-08,7.50854905263934,NS,0.246605715228824
FBXL21,-0.2450786940389,4.21733252743013E-06,5.37496215446665,NS,0.2450786940389
OR51T1,0.244158401297337,4.24793488275888E-06,5.37182214924185,NS,0.244158401297337
SPOCK3,-0.244151257467245,6.77625899626212E-06,5.16901000313516,NS,0.244151257467245
TRGV3,-0.243553799950942,0.0039821114035208,2.39988659431926,NS,0.243553799950942
ACSM1,0.243333924927134,6.7425173755443E-07,6.17117792569179,NS,0.243333924927134
OR51F1,0.240361239880865,0.000188349178773223,3.72503626903669,NS,0.240361239880865
TMSB15A,0.240204030547716,0.000178503097225173,3.74835424399923,NS,0.240204030547716
NAALADL2,0.238750502602444,1.77505112290932E-11,10.7507891343961,NS,0.238750502602444
MYO6,0.238617780828572,5.62128392879838E-13,12.2501644781128,NS,0.238617780828572
CPNE4,0.238139000695569,2.84189331422744E-07,6.54639222968511,NS,0.238139000695569
SNORD60,0.237160283700003,6.38866590031139E-07,6.19458982300342,NS,0.237160283700003
OCLN,0.236987199609416,3.72097049536404E-07,6.42934377360958,NS,0.236987199609416
EPHA7,-0.234848908528799,8.62634981146162E-06,5.06417293453842,NS,0.234848908528799
PTN,-0.234018616312452,3.69396394310337E-09,8.432507348037,NS,0.234018616312452
GLYATL1,0.23322374128091,1.65152494161026E-08,7.78211486313399,NS,0.23322374128091
ELF3,0.232671857211002,6.63190543247612E-07,6.17836167522718,NS,0.232671857211002
MSMB,-0.232407071678582,4.16912213739347E-06,5.3799553817221,NS,0.232407071678582
GSTM5,-0.23155810398167,7.93503287403675E-05,4.1004512696674,NS,0.23155810398167
KRT23,-0.231035991676182,0.00124939489767274,2.903300271975,NS,0.231035991676182
C9orf152,0.230689678928424,2.11003895901444E-05,4.67570952596828,NS,0.230689678928424
PBOV1,0.229182557289806,3.71224518015885E-05,4.43036334795057,NS,0.229182557289806
NCRNA00161,-0.228576790600828,8.15021514495096E-05,4.08883092683895,NS,0.228576790600828
BDH2,-0.228171256482396,4.47896545749487E-05,4.3488222868916,NS,0.228171256482396
STAC,-0.227685772197061,0.0013652193591297,2.86479756195244,NS,0.227685772197061
PRR16,0.226675521175007,1.52191467619989E-07,6.81760969493357,NS,0.226675521175007
SNORD75,0.225324560586497,0.00012443200254002,3.90506790952374,NS,0.225324560586497
ZNF483,-0.225173862293179,2.04504391633931E-07,6.68929736129036,NS,0.225173862293179
SNORD36C,0.223483697560401,9.72411687403586E-07,6.01214983001753,NS,0.223483697560401
PCDH18,-0.221880513934139,2.14121293064478E-05,4.66934014260473,NS,0.221880513934139
EPCAM,0.221759870945521,1.25478409760835E-09,8.90143099393087,NS,0.221759870945521
TMC5,0.22150871455727,5.47833987016744E-08,7.26135102809527,NS,0.22150871455727
SNORD114-3,-0.22110739921845,0.00539682958612221,2.26786129528947,NS,0.22110739921845
MME,-0.220298286317805,1.07793985954244E-05,4.96740546864599,NS,0.220298286317805
ADRA1A,-0.220130510304679,6.05134035960592E-05,4.21814841934626,NS,0.220130510304679
SNAI2,-0.218348819769209,2.9834242875483E-07,6.52528497907586,NS,0.218348819769209
CNTN1,-0.217965125663379,5.30670524344848E-06,5.27517503422833,NS,0.217965125663379
IL33,-0.217346215509899,2.43668841727444E-05,4.61320000110239,NS,0.217346215509899
C5orf30,0.217332025248753,2.25136182974079E-06,5.6475547013426,NS,0.217332025248753
STX19,0.216676068381521,1.26988453801039E-08,7.89623576470116,NS,0.216676068381521
FGF10,-0.21639542612357,8.11778873008133E-06,5.09056225562453,NS,0.21639542612357
SEMA3E,-0.214742032541529,0.000516371766662564,3.28703751140534,NS,0.214742032541529
SFRP4,0.214424336495842,0.000578973026428735,3.23734166899456,NS,0.214424336495842
BEX1,-0.213920602140105,2.4684345984382E-05,4.60757837499242,NS,0.213920602140105
DSC3,-0.213536237751645,0.000188047882563325,3.72573155241037,NS,0.213536237751645
SNORD115-33,0.213203758669531,0.00795667100515472,2.0992685989076,NS,0.213203758669531
SNORD115-20,0.213073479937394,0.00763964694675893,2.11692671113861,NS,0.213073479937394
SNORD44,0.21284074644271,7.19676461659799E-08,7.14286270147874,NS,0.21284074644271
GOLM1,0.212573388281684,7.16313453859222E-10,9.14489689180948,NS,0.212573388281684
CCDC80,-0.212440179328856,2.65746874730806E-05,4.5755318342182,NS,0.212440179328856
SNORD20,0.212389755813904,0.000796728141680589,3.09868984260506,NS,0.212389755813904
KRT5,-0.212266816402946,1.53264595774614E-06,5.81455815587949,NS,0.212266816402946
ANGPTL1,-0.211193668205308,2.36638393780599E-05,4.6259147911776,NS,0.211193668205308
LRCH2,-0.21095228682266,5.13877395383814E-05,4.28914048579019,NS,0.21095228682266
DNAH8,0.20972985478437,0.000520404492482034,3.28365896297184,NS,0.20972985478437
SNORA71A,0.20938280316281,7.24014206830857E-09,8.1402529118585,NS,0.20938280316281
CHN1,-0.209376808610969,0.000385381403306425,3.41410924618359,NS,0.209376808610969
SLC38A11,0.209131857984883,0.000180590558522691,3.74330495883248,NS,0.209131857984883
CAV1,-0.208705484489659,2.40028329375575E-06,5.61973749759918,NS,0.208705484489659
TRPC1,-0.208193815414828,4.15381949319305E-05,4.38155237992742,NS,0.208193815414828
TGFB3,-0.208097097278541,4.52398619300355E-06,5.34447872919122,NS,0.208097097278541
SNORD80,0.206877215504654,4.09793747034103E-07,6.38743467270228,NS,0.206877215504654
SNORD49B,0.206858179697388,2.50441536777919E-05,4.60129363992876,NS,0.206858179697388
