"gene","log2FC","negLog10P","significance"
"ADAMTS13",-7.21324001595747e-06,3.93347512760924e-05,"NS"
"LPPR2",9.49071399269918e-06,4.46010910830519e-05,"NS"
"MED7",-1.34680027397138e-05,0.000127582689882355,"NS"
"KRT31",-2.4048372870622e-05,6.04260364421286e-05,"NS"
"GRN",2.50058811239739e-05,0.000148348481386967,"NS"
"PKD2L2",-2.53156629743678e-05,9.78071440388386e-05,"NS"
"CHKB-CPT1B",-2.81414937881586e-05,7.30581511536154e-05,"NS"
"P4HA2",2.90993247571425e-05,0.000239987204556301,"NS"
"G3BP1",3.42893883189532e-05,0.000137541169975611,"NS"
"MRPS12",3.60430578425497e-05,0.00011260304760059,"NS"
"MAP2K7",3.86682781468028e-05,0.000278472551723684,"NS"
"DEPDC1B",4.22878126176141e-05,0.000165160898403619,"NS"
"PWP2",-4.24874707678491e-05,0.000186319013232139,"NS"
"BBS5",4.6746933268782e-05,0.000238403521842916,"NS"
"C11orf54",5.84195770905183e-05,0.00025447113479026,"NS"
"SPAG1",-6.08637967212111e-05,0.000196040363870001,"NS"
"ACTC1",-6.50346009776204e-05,0.000200400168230436,"NS"
"ZC3H12D",6.53476866332436e-05,0.00125463845181396,"NS"
"FABP6",-7.08639648938636e-05,0.000265104669444381,"NS"
"HUNK",-7.52089162050495e-05,0.0004251378043109,"NS"
"FOXL2",7.67911655330522e-05,0.000558610730621907,"NS"
"RABL5",-7.89281692685773e-05,0.00032458138209176,"NS"
"ZNF177",-8.12140680186424e-05,0.00037517535026138,"NS"
"TMEM160",8.12745761833433e-05,0.000534359156640396,"NS"
"IGHV3-48",8.17810936242225e-05,0.00025491544684344,"NS"
"TSPAN12",-8.67262250858758e-05,0.000336547416519762,"NS"
"BTAF1",8.90880513386705e-05,0.00061517582635268,"NS"
"KRT86",-8.93877088736783e-05,0.000399250822760218,"NS"
"TARS2",-9.35220891158384e-05,0.000420436418811638,"NS"
"PITRM1",-9.74443976402561e-05,0.00128379592170896,"NS"
"CEP192",0.000109209696842694,0.000202264985647196,"NS"
"PHYHIPL",0.000109420013066241,0.000363332294754765,"NS"
"KCNH2",-0.000110945493293935,0.000831065460000752,"NS"
"TAAR1",0.000123625304960795,0.000465255984379938,"NS"
"SSBP3",-0.000137191863634811,0.00116148382015966,"NS"
"TEX28",-0.000140095157632247,0.00124532547620218,"NS"
"JARID2",0.00014445989301759,0.000416758222904014,"NS"
"KNDC1",-0.000148147466086046,0.00195618900139899,"NS"
"GBA3",-0.000153041323841641,0.000679228418947607,"NS"
"CCDC81",-0.000156597562935179,0.000631280474745257,"NS"
"PP13004",0.000158299465139233,0.000302059908439012,"NS"
"LOC100508018",0.000161879016406186,0.000799339665413984,"NS"
"FMN1",0.000166256016705502,0.000478065732353861,"NS"
"SAMD5",0.000166844542025535,0.000508937921624296,"NS"
"NEK6",-0.000185271846720347,0.000719356206744237,"NS"
"FGF8",0.000194130558605732,0.00170109855483438,"NS"
"ALX3",0.000197747420908945,0.000943927764679554,"NS"
"ZNF155",0.000199676860606068,0.000782716822112756,"NS"
"SNORD115-21",-0.000203661829375035,0.000539242214497813,"NS"
"PPP1R12C",-0.000225487001549229,0.00165950274371787,"NS"
"OR6N1",0.00022851347279218,0.00147283646421611,"NS"
"MAML3",0.000233014252021047,0.00190791650592338,"NS"
"MAEA",-0.000233957017730102,0.000856852300772556,"NS"
"BDNF",0.000234235441617381,0.000571861124597281,"NS"
"C7orf50",-0.00023566095965899,0.00186290276668823,"NS"
"ZAR1",-0.000240937004093666,0.00173539718400555,"NS"
"JMJD5",-0.000241590368387001,0.000821827168728535,"NS"
"RNASEH2B",-0.000243426440415861,0.0010380960425256,"NS"
"DBNDD1",-0.000253200345260662,0.00244152846984563,"NS"
"FBLN5",-0.000255206587314483,0.00056312387981352,"NS"
"WNT9A",0.000268009668875635,0.00130736835331037,"NS"
"MIR185",0.000271306218356582,0.00240504903864921,"NS"
"RBPMS",0.000278796076347732,0.00118564271655149,"NS"
"SCUBE1",0.000288693717321653,0.0018481616260901,"NS"
"TNIP3",-0.000297072167730894,0.000670418029659954,"NS"
"ESAM",-0.00030264276127645,0.000743832952379169,"NS"
"AIM1",-0.000303802278672993,0.000896188766054084,"NS"
"MSH5",-0.000305523966148691,0.00203008350794833,"NS"
"BGLAP",0.000308695454843466,0.00236140721823447,"NS"
"AEBP2",-0.000323835432700204,0.0024242686991765,"NS"
"SUV420H2",0.00032852024891894,0.00168943841779435,"NS"
"CTDSP2",0.000332180764807344,0.00150133503435394,"NS"
"TRIB2",0.000332581584207459,0.00197304624308422,"NS"
"GRRP1",0.000337006434245612,0.00203812262705485,"NS"
"XRCC5",-0.00033812660489474,0.00648256566941073,"NS"
"TNFRSF10D",0.000342049014132151,0.00197517360354219,"NS"
"SNORA49",-0.00034902035180906,0.000888255272543969,"NS"
"CDK5R1",0.000351378540861313,0.00163260219736018,"NS"
"CENPH",-0.000351803088161962,0.00120850954837239,"NS"
"CCDC87",0.000362042325762646,0.00122883546643418,"NS"
"SP110",0.000363270420150386,0.000843693114964024,"NS"
"ATRNL1",-0.000373056420273743,0.000467927980077834,"NS"
"SIGLEC15",0.000373376620543153,0.0015289934513728,"NS"
"OR2T10",-0.000373839231436968,0.00135470229201863,"NS"
"UCN3",0.000400215246079583,0.00184612021256659,"NS"
"NUMB",0.000426375078562913,0.00517927922457204,"NS"
"TRAJ17",0.000431609812106437,0.00591306154272969,"NS"
"FLJ33544",0.000432152520134066,0.0010154792102316,"NS"
"MIOS",0.000433233152562273,0.00144105667365414,"NS"
"SUPT4H1",0.000441635449603073,0.00221332977110959,"NS"
"EPHA7",-0.000445248614245219,0.000731085736340557,"NS"
"GPR176",0.000448828024398606,0.00246418525981468,"NS"
"POLR2E",-0.000453969554665701,0.00351099706089402,"NS"
"LRRC4B",-0.000458372979144084,0.00233659431115414,"NS"
"GPRC6A",-0.000464704238385016,0.00312320166923579,"NS"
"HLA-DOA",0.000465443600625726,0.00278790689893106,"NS"
"LCMT2",0.00047312461049942,0.00174301903099045,"NS"
"PEMT",-0.000474829632763463,0.00202656174059096,"NS"
"LCE2B",0.000475360437431682,0.00229787420829224,"NS"
"DDX52",-0.000491192751078007,0.00178961758857559,"NS"
"MADCAM1",0.000499052037059133,0.00282197364264365,"NS"
"FAM92A1",-0.000500988634736466,0.00261868712115839,"NS"
"ELOVL5",-0.000509838983280719,0.00423969399765564,"NS"
"ALG12",0.000512061923504614,0.00290096450087592,"NS"
"GPR183",0.000543993133013343,0.00111200051303346,"NS"
"PDHB",0.000560466582287811,0.00321258149364941,"NS"
"SUSD2",0.000570222931374209,0.00210213592377989,"NS"
"PBX3",0.000574727476705394,0.00305070475135114,"NS"
"ETNK1",0.000576066871887049,0.00527420498977314,"NS"
"DOHH",0.000586132763297886,0.00511332995008498,"NS"
"SNORD102",-0.000588910599431447,0.00416032284917217,"NS"
"CLDN20",0.000588986560719817,0.00327493339402907,"NS"
"TMEM179",0.000591658128814787,0.00474290412961985,"NS"
"FXYD6",0.00059351536229757,0.00279077713450121,"NS"
"CD7",0.000609791487107714,0.00239011025204292,"NS"
"CBR3",-0.000612740421277902,0.00426270943067359,"NS"
"C17orf96",-0.000628792775611453,0.00426371544835685,"NS"
"RRP12",0.000644605561652911,0.00122497368947811,"NS"
"BAT2L1",0.000646335331046632,0.00474803970825497,"NS"
"CST3",0.000658030310098479,0.00810344684065872,"NS"
"GUCA1C",0.00066348624606305,0.00156304352406414,"NS"
"SHFM1",-0.000670807534346007,0.00288203187745401,"NS"
"UHRF1",0.00067807245588436,0.00242899737246312,"NS"
"FUBP1",-0.000684993681212109,0.00315248370146692,"NS"
"RELA",0.000687871643575644,0.00332291257910238,"NS"
"LTB",0.000692124618922652,0.0078268480108429,"NS"
"PKMYT1",-0.000697072017324496,0.00208635212273362,"NS"
"TMEM52",-0.000697934048121684,0.00535823187417857,"NS"
"RNF41",-0.000699212316524811,0.00284170241217467,"NS"
"KRT35",0.000699242223724639,0.00500664907096224,"NS"
"FLJ13197",0.000700804503061203,0.00354218552644079,"NS"
"LOC407835",-0.00070536040788971,0.00370315349992123,"NS"
"ZNF280D",-0.00071946044329918,0.00357585034467531,"NS"
"EIF3F",0.000720191305682683,0.00358731631929201,"NS"
"PRKD1",-0.000720489339640196,0.0060471091437223,"NS"
"FOXD4L2",0.000726698407064408,0.0039918509884292,"NS"
"ERI3",-0.000745001545420232,0.00303834079952365,"NS"
"KIR3DL3",0.000754368093348168,0.00377591829490367,"NS"
"PIGY",0.000758403639643745,0.00603858484276854,"NS"
"FAM27A",0.000761548233573439,0.00568518972588612,"NS"
"LOC645739",-0.000765103331737516,0.00171011619962742,"NS"
"ACER2",0.000769246347746444,0.00333578098801055,"NS"
"LYPD3",-0.000791624037552507,0.00627113845957751,"NS"
"ZFP92",0.000792671065632966,0.00274589602162925,"NS"
"CNOT8",-0.000814330879922665,0.0041557755478292,"NS"
"SETD8",0.000825022657636953,0.00900205672982132,"NS"
"MUC5B",-0.000837355978063226,0.00568690485045128,"NS"
"S100P",-0.000841696634093836,0.00305018163470129,"NS"
"ZNF826P",0.000842212355782523,0.00163079510123275,"NS"
"FAM82A2",-0.000842883556020135,0.00322827757737289,"NS"
"PHACTR1",-0.00084652540712038,0.00814728460816263,"NS"
"ZBTB22",0.000855250159412346,0.00463054824560364,"NS"
"ZNF830",-0.000861000773313414,0.0020154502656283,"NS"
"MEGF6",0.0008704680420899,0.0147901992396712,"NS"
"RIPK1",-0.000874115725402858,0.00339001996446417,"NS"
"HIST1H2BK",0.000887807513823891,0.0053508227304925,"NS"
"CHTF8",0.000895706748789582,0.00316070323944495,"NS"
"TFDP3",0.000902691503357977,0.00453694311692001,"NS"
"MACROD1",0.000904215347935722,0.0120675713512636,"NS"
"NRBF2",-0.000909601425844508,0.00253059959653713,"NS"
"CGN",0.000914849991969113,0.00430652522164811,"NS"
"ZNF785",0.000915901733534064,0.00503748595253702,"NS"
"ZNF100",0.000922966067634423,0.00291387974254478,"NS"
"CLEC6A",-0.000928167261290191,0.00362710143596529,"NS"
"C8orf58",0.000944481459898672,0.00830938291609177,"NS"
"NSDHL",-0.000948564322195589,0.00994480366144036,"NS"
"GLYR1",-0.000962925759828703,0.00528997337074995,"NS"
"ARHGEF25",0.000971192123474296,0.00276456602417066,"NS"
"ITFG1",0.000987278672469616,0.00359593757858278,"NS"
"FAM71E2",0.000989228453522228,0.0143223503787111,"NS"
"SOST",0.000992429949808971,0.00629727349867183,"NS"
"SNX19",0.000993351149426225,0.00621790152134253,"NS"
"GNPNAT1",-0.000993596284224463,0.00608996893675952,"NS"
"FBXO11",0.000997973373854322,0.00419679261195098,"NS"
"ASB13",-0.00100501841581857,0.00649346082653806,"NS"
"LOC391764",0.00100587359681725,0.00678100774283923,"NS"
"MAP6D1",-0.00101053624247505,0.00432747592806742,"NS"
"REXO1",0.00101459787676639,0.0155046132543142,"NS"
"FAM13A",-0.001016322850528,0.00503076210312242,"NS"
"ESRRA",0.001022429363563,0.00706586089780246,"NS"
"C15orf17",-0.00103106708488587,0.004407976520401,"NS"
"PPP1R16A",-0.00103235297810134,0.00934454085179962,"NS"
"CCDC159",0.00103672255913567,0.00251815127399839,"NS"
"FAM19A5",0.00103943981244159,0.0103253639439248,"NS"
"METTL9",-0.00104301671375628,0.00611424457976199,"NS"
"FBXO3",-0.00104581833327688,0.00395977008141427,"NS"
"C1orf130",-0.00105663329940686,0.00459321123288444,"NS"
"HNRNPA3",-0.00105753353865756,0.0161640388640566,"NS"
"SETD6",0.00105784849036938,0.00272297572984767,"NS"
"FAM90A10",0.00105877261085863,0.00455314053799886,"NS"
"BIK",-0.0010600311077007,0.00287467036816719,"NS"
"SYCE1",-0.00108422425461696,0.00608906371312619,"NS"
"CLDN18",-0.00109363254328554,0.00276520344382888,"NS"
"MRPL13",0.00110050602553413,0.00338148954679358,"NS"
"KCNH4",0.00110446747350212,0.00410027480937706,"NS"
