"gene","log2FC","pvalue","negLog10P","significance"
"HNRPDL",4.58308106932037e-06,0.999828410143402,7.45269220857663e-05,"NS"
"KSR1",-7.53021329980008e-06,0.99977091642602,9.95011295463749e-05,"NS"
"GOLGA8F",9.16078244528329e-06,0.999747730923735,0.000109572889283514,"NS"
"LY86-AS",-2.10508761995243e-05,0.999575586274863,0.000184359664025024,"NS"
"BRI3",2.17540839093644e-05,0.998873872211121,0.000489346669813144,"NS"
"MGMT",2.24017338705806e-05,0.999068725142369,0.000404635974716982,"NS"
"LRCH3",2.55017972317084e-05,0.999342245831102,0.000285752993918338,"NS"
"RNF14",2.65472780553999e-05,0.999471560164856,0.000229559163867654,"NS"
"FLJ16734",-3.10635993525654e-05,0.999722866678226,0.000120374153012808,"NS"
"NDFIP1",3.1807781603721e-05,0.999288206882629,0.000309237892893566,"NS"
"LEPR",-3.39300124692077e-05,0.999315552223656,0.000297353665557276,"NS"
"NBPF16",-3.45077503580704e-05,0.998379954563368,0.000704147323021127,"NS"
"SLC35F5",3.76632233174412e-05,0.999271716806039,0.000316404602467605,"NS"
"PNRC1",3.81349653513219e-05,0.998850711073336,0.000499416881111779,"NS"
"DNASE2",-4.01962812059953e-05,0.999042156420606,0.000416185533212545,"NS"
"SERPINB7",-4.26361678396159e-05,0.999326881279298,0.000292430177225013,"NS"
"SMCR7",4.3037348004038e-05,0.99833360691599,0.000724308980554274,"NS"
"FAM135B",4.41499901949749e-05,0.999315326001597,0.000297451979851246,"NS"
"ITGAD",5.83456559941631e-05,0.99850362250129,0.000650355200422106,"NS"
"ODAM",-6.08306987939233e-05,0.999356093368317,0.000279735168334271,"NS"
"GPRC5C",-6.31247558515735e-05,0.998684254064824,0.000571797451865124,"NS"
"WDR60",6.37001970580364e-05,0.997312216121674,0.00116886123471647,"NS"
"LIX1L",6.797579159179e-05,0.998843061522421,0.000502742874111286,"NS"
"KRTAP19-3",7.16027999019264e-05,0.998877772442658,0.000487650914448127,"NS"
"CCDC124",-7.40279655722098e-05,0.998140389966115,0.000808370236081571,"NS"
"C3orf30",7.91422234183159e-05,0.999230265126528,0.000334420332091662,"NS"
"SOX8",8.72229469786046e-05,0.998039471915482,0.000852282263638492,"NS"
"KIF2A",-8.98650391112366e-05,0.998088959719585,0.000830748298280896,"NS"
