name,logFC,DE_class
C1orf64,4.008683388123657e-6,NS
MLL4,-1.4164719534637271e-5,NS
NEIL1,-1.852991490136624e-5,NS
GABRG2,-3.308149240033309e-5,NS
URM1,4.557860741005726e-5,NS
BAIAP2L2,4.849824387442858e-5,NS
THEM5,5.392519062530354e-5,NS
RIOK3,5.545634899384311e-5,NS
SMEK1,5.59387736358552e-5,NS
MEI1,-5.596627214421446e-5,NS
EFR3A,-5.689102780870314e-5,NS
C6orf26,5.734227969345085e-5,NS
SCAMP2,5.95279146478056e-5,NS
NDUFS1,6.941829192230742e-5,NS
RPL13A,-7.593360533908466e-5,NS
ZNF518A,-7.836579620690287e-5,NS
TMC6,-7.93968142096535e-5,NS
AP1G1,-8.096105366162121e-5,NS
PIH1D1,8.751586215982599e-5,NS
CYB5R4,8.929383060141127e-5,NS
HLA-B,9.391188550988971e-5,NS
LOC100129113,-9.60559883393941e-5,NS
BRD1,9.908888230381052e-5,NS
CCDC63,1.0250034125491858e-4,NS
ARCN1,1.0650612520546332e-4,NS
FKBP7,-1.1261671161721942e-4,NS
MBLAC2,-1.3618929472469787e-4,NS
C3orf14,1.3775800772730662e-4,NS
GSX1,1.3957886989590662e-4,NS
ACHE,1.4974490258823359e-4,NS
C2CD2L,-1.530873003827704e-4,NS
PDZRN4,1.5656227643789933e-4,NS
SDF2L1,-1.6432496433971266e-4,NS
ACAD8,1.7501164284761117e-4,NS
IL20RA,-1.763551992077783e-4,NS
RGS5,1.7970261763311512e-4,NS
GGT1,1.8726015653180994e-4,NS
MRPL53,-1.8750735613703995e-4,NS
KRT17,-1.9282732254488621e-4,NS
KLHDC5,-1.9513199298737405e-4,NS
PPP2R5A,1.953531049900814e-4,NS
CAPZA3,-2.0460676499245434e-4,NS
CD248,2.1261010876783004e-4,NS
C20orf195,2.1280150884028792e-4,NS
LRRN4CL,2.208995090824395e-4,NS
MDM2,-2.2951844172203195e-4,NS
RRAS2,-2.3253398523470636e-4,NS
C7orf60,2.3366791024459488e-4,NS
LEPREL2,2.367822713347234e-4,NS
NPIPL3,-2.380228142029317e-4,NS
RHOF,2.4105023883169707e-4,NS
NEBL,-2.4386817494681523e-4,NS
MTNR1B,2.4597281155980255e-4,NS
CAMP,2.471086164212988e-4,NS
MARVELD3,-2.519157307045994e-4,NS
LOC100128840,2.5376034957402815e-4,NS
MGRN1,-2.5420897274530674e-4,NS
ZNF667,-2.5756687749289853e-4,NS
CD164L2,-2.6780620520017173e-4,NS
KIR2DS4,2.697309642951673e-4,NS
HCG4,2.6977326574950666e-4,NS
FUS,-2.69797406179606e-4,NS
YKT6,-2.755989721836549e-4,NS
ND4,2.768359331488668e-4,NS
CCDC28A,2.7997942440127765e-4,NS
DCAF16,-2.8226673657893997e-4,NS
SLC1A5,2.924617228008408e-4,NS
SEC14L2,-2.933808526126569e-4,NS
PRKACA,-2.9824884903462134e-4,NS
LOC100128751,-0.00029956292645438864,NS
C11orf24,3.0404611566048345e-4,NS
FAM101B,3.0693936086212403e-4,NS
SNX15,3.2079495821890625e-4,NS
C5orf44,-3.212056653021378e-4,NS
CASP7,3.2304671380067873e-4,NS
BTBD3,-3.29785423506479e-4,NS
ANAPC4,-3.396713714389765e-4,NS
KRTAP10-9,-3.4397727986057447e-4,NS
KIF12,3.510294564408323e-4,NS
PRKAR2B,-3.592430007950398e-4,NS
PTPN11,-3.6104749380605483e-4,NS
PWWP2B,3.621654904604199e-4,NS
