name,logFC,DE_class
DYNC1LI2,3.5444866108846895e-6,NS
MIR129-2,1.1563994571917036e-5,NS
KRTAP4-9,-1.2635087244472487e-5,NS
FIBCD1,-1.3036422501944145e-5,NS
ATG5,-1.6058025500198525e-5,NS
CHMP5,1.8098294134460957e-5,NS
OS9,2.472264850039707e-5,NS
PIGZ,-3.118881291985787e-5,NS
SCARNA10,-3.429776552277275e-5,NS
ABHD15,-3.86290385228083e-5,NS
ZFYVE9,4.337634623263753e-5,NS
DOCK6,-4.472999200433314e-5,NS
FAM175B,-4.661563993968443e-5,NS
ARPC5,4.966270797179817e-5,NS
SEPT9,-5.173188566054421e-5,NS
ARMCX5,-5.534069372448158e-5,NS
NTHL1,6.114579404759013e-5,NS
ZNF354A,-6.200143882817422e-5,NS
GRPEL2,6.35999238063345e-5,NS
KPNA1,-6.591966474189803e-5,NS
TMEM131,6.762346102684447e-5,NS
SAP30,-7.264857347188958e-5,NS
ZSWIM4,-7.55445880378236e-5,NS
KIAA1919,7.969617803804674e-5,NS
FAM122C,8.01854726912854e-5,NS
GAS8,-8.279206425809704e-5,NS
WDR83,-8.292098852469287e-5,NS
JAG2,8.403236341236742e-5,NS
CEACAM19,-8.687682909447325e-5,NS
LOC653075,-8.700771047642775e-5,NS
HIC1,-9.193582324984462e-5,NS
NDRG4,9.284279716692545e-5,NS
CCDC55,-9.335597356940895e-5,NS
ZBTB17,-9.810714714775237e-5,NS
FAM83F,-9.872708995151136e-5,NS
LCE1D,9.896929935049315e-5,NS
MCRS1,-1.0210980663361013e-4,NS
C17orf70,-1.0285552378497265e-4,NS
IL1F10,-1.1147374903264229e-4,NS
MRPS18A,-1.2002017863865788e-4,NS
PROKR1,-1.27847788080393e-4,NS
TRIM72,1.3370909162602196e-4,NS
BCAS1,-1.3640842665241237e-4,NS
KLK14,-1.397691968099135e-4,NS
ZNF271,-1.4613101320204436e-4,NS
GALC,1.4836775509241562e-4,NS
ZNF768,-1.5061046078823637e-4,NS
PDP2,-1.553418871154122e-4,NS
C15orf40,1.5806168814025412e-4,NS
ANKRD60,-1.6088411357984e-4,NS
EBAG9,-1.633800422582432e-4,NS
ZNF648,1.6467928280405886e-4,NS
ASAH1,1.7210528295752425e-4,NS
CMTM8,-1.752567687072215e-4,NS
ZNF839,-1.7634705995117628e-4,NS
SPATA20,1.7666488226497634e-4,NS
BAHD1,-1.767622246415801e-4,NS
AMIGO3,1.772278950962214e-4,NS
FLT4,-1.8220916516220598e-4,NS
NRBP2,1.83544700772309e-4,NS
GOLGA1,-1.8409341914993327e-4,NS
OBFC2B,1.8719207726869413e-4,NS
FAM3D,-1.8989314403494717e-4,NS
KRTAP11-1,-1.900359995821166e-4,NS
NEU2,1.9170057611472835e-4,NS
C16orf42,1.92632322972619e-4,NS
MLN,-1.952935903475339e-4,NS
PDLIM2,1.9662938806441765e-4,NS
NKX6-3,1.978913495124246e-4,NS
SIN3A,1.9962431635911493e-4,NS
TPST2,-2.0042786281981861e-4,NS
ARL2,-2.0084329856606686e-4,NS
DGKZ,-2.0171306811223033e-4,NS
IQSEC2,2.0352141059110096e-4,NS
FBXL19,2.041046899341481e-4,NS
KIAA0125,-2.043194868130982e-4,NS
EHD3,-2.0467511668753602e-4,NS
VDAC3,-2.0634060954716205e-4,NS
MFSD6L,-2.070207058402218e-4,NS
ASB13,2.0724179922759767e-4,NS
KRTAP1-1,-2.072744555521311e-4,NS
SRFBP1,-2.0990427902134456e-4,NS
C1orf66,-2.1752981086686773e-4,NS
FMR1NB,-2.2009978036252598e-4,NS
NRN1L,2.2463256618587835e-4,NS
NDUFB1,2.342669190178448e-4,NS
DNAJC13,2.3673569011717355e-4,NS
DYRK1A,-2.3687598265476062e-4,NS
RXRA,2.3788233232791e-4,NS
ZIK1,-2.3797855541674018e-4,NS
LY6E,-2.4035204485750583e-4,NS
BCLAF1,2.4149670781525856e-4,NS
ANKRD13B,-2.4272483107767862e-4,NS
MIR184,2.478379012910148e-4,NS
SEBOX,2.531976207422737e-4,NS
RAB19,2.5627112785397976e-4,NS
MALAT1,-2.571587377788731e-4,NS
KIDINS220,0.00025964641585263237,NS
HIATL2,2.603021285403351e-4,NS
PPP2R2C,-2.6058173190857126e-4,NS
EDEM2,2.61274139643497e-4,NS
DDIT3,-2.6469588370314767e-4,NS
SCGB1C1,2.6496970622691407e-4,NS
PPAPDC2,-2.6563291530479205e-4,NS
P2RX5,2.665763224132256e-4,NS
NGF,2.6844231959088916e-4,NS
TNK1,-2.691131493617327e-4,NS
CROCC,-2.6941635304211786e-4,NS
PROCA1,2.7004587254109147e-4,NS
KIAA1644,2.712362759091924e-4,NS
TUBA8,2.7406013688024977e-4,NS
ZNF223,-2.8889208656934784e-4,NS
TMEM179,2.889727867672054e-4,NS
ZFP91-CNTF,2.9305394627843206e-4,NS
ARAP1,-2.9331447562963575e-4,NS
SRPK3,-2.936975519136631e-4,NS
STAT6,-2.9632420706793283e-4,NS
VWA5B1,2.9824601828454256e-4,NS
C8orf86,3.0356766383943246e-4,NS
MDM2,-3.0399658557644926e-4,NS
TCHP,-3.059781285230656e-4,NS
WTIP,3.077957297152878e-4,NS
KIAA0232,3.1029350473543715e-4,NS
ZNF716,-3.140770255352088e-4,NS
FLJ11235,3.153286247910003e-4,NS
RAB40B,3.1600102896889304e-4,NS
GREM2,3.1770739411718374e-4,NS
TMED1,-3.183376449475972e-4,NS
GLRX5,-3.183873638641366e-4,NS
CMTM2,3.1918959177446027e-4,NS
OR2V2,3.2108248327400446e-4,NS
MAGEB6,3.2302804186001843e-4,NS
GLUD1,-3.262593497548316e-4,NS
PXMP2,3.2733034228416e-4,NS
NFU1,3.273967319348259e-4,NS
LOC646976,3.2779710113617355e-4,NS
PLLP,-3.398456247816206e-4,NS
C17orf42,3.4039933401830424e-4,NS
KCNK7,3.436224193018589e-4,NS
CSDC2,3.443846520854166e-4,NS
UBE2M,-3.461407013023443e-4,NS
C20orf30,3.4631282610186886e-4,NS
HFE2,-3.4906486302355155e-4,NS
SR140,3.507698703111295e-4,NS
NANOS1,3.5117267240747374e-4,NS
ARNT2,-3.541034099163731e-4,NS
STRN3,3.5528019685271417e-4,NS
CNOT4,-3.566250182958086e-4,NS
RPAP3,-3.5732332744919937e-4,NS
C14orf148,3.5759721705130865e-4,NS
ZNF639,3.5809044950929625e-4,NS
SLC35B2,3.762604890786836e-4,NS
REL,-3.7852988220787864e-4,NS
ARNTL2,3.795530204272479e-4,NS
NLGN2,-3.829650319033817e-4,NS
SOLH,-3.873677891503835e-4,NS
OGDHL,-3.875110731379472e-4,NS
LOC100288884,-3.884990598642668e-4,NS
NPTXR,3.891640923030515e-4,NS
CCDC59,3.930758834229664e-4,NS
SKOR2,-3.950013992601864e-4,NS
NEDD8,-3.982374949669243e-4,NS
ARHGEF15,-3.9949873901479194e-4,NS
PLEKHG6,-4.0576030508931993e-4,NS
TTC15,4.076883844599255e-4,NS
TLX1,-4.112634668760329e-4,NS
KLHDC8A,4.115532266388833e-4,NS
NUFIP1,-4.126551387138022e-4,NS
DDX20,-4.174060023465209e-4,NS
CREBBP,4.183026827888625e-4,NS
KRT37,-4.2172274234397733e-4,NS
POLR2G,-4.230962297187002e-4,NS
CTRB1,4.256709225183286e-4,NS
ZNF860,-4.27378658255817e-4,NS
SNUPN,4.326421451288365e-4,NS
MMP10,4.3578442933278616e-4,NS
RABL5,-4.4524736535489495e-4,NS
SCN9A,4.456270498834902e-4,NS
GAMT,4.5027057395419234e-4,NS
KRTAP2-4,4.54336550502088e-4,NS
TIPARP,4.5942289827394234e-4,NS
C6orf57,4.597397025454253e-4,NS
ZSWIM1,4.610835772966837e-4,NS
ATF1,-4.678164599964951e-4,NS
C1orf150,-4.6913903106804433e-4,NS
CTSF,-4.69798081757844e-4,NS
CAMK2N2,-4.7021612712683236e-4,NS
ERICH1,4.7220133707837064e-4,NS
AURKB,-4.748698586058975e-4,NS
LYZ,4.871158606247761e-4,NS
GAD1,4.930776937248638e-4,NS
