"Feature_name","GSM2084011","GSM2084044","GSM2084054"
"A1BG",4.21439,3.69987,3.90224
"A1CF",2.19528,1.97313,2.04054
"A2LD1",3.65441,3.56994,3.71027
"A2M",5.9478,7.11532,5.17604
"A2ML1",2.36099,2.4311,2.34677
"A4GALT",3.51745,2.48473,3.32775
"A4GNT",2.0438,2.11548,2.08149
"AAA1",1.92426,1.92923,1.80464
"AAAS",4.14345,4.96814,3.91827
"AACS",3.86663,3.12076,3.42362
"AADAC",1.57969,1.32219,1.58035
"AADACL2",1.57799,1.75094,1.84518
"AADACL3",2.40689,2.34859,1.55186
"AADACL4",1.5535,1.57072,1.82532
"AADAT",3.91578,4.22768,3.76841
"AAGAB",3.44713,4.07669,3.01262
"AAK1",4.34865,4.99912,5.21879
"AAMP",4.18806,3.94892,4.25086
"AANAT",3.58791,3.3409,3.45751
"AARS",4.51163,4.63034,4.40563
"AARS2",2.91382,2.64396,2.39604
"AARSD1",3.28263,3.3509,2.94853
"AASDH",2.13373,3.19809,2.55118
"AASDHPPT",2.73107,3.34286,2.57051
"AASS",4.66653,4.26887,3.94893
"AATF",3.6665,4.61949,4.75392
"AATK",4.06277,3.44331,3.26436
"ABAT",4.33083,3.89429,4.50906
"ABCA1",2.80466,2.97111,2.84684
"ABCA10",1.34027,2.27422,1.24707
"ABCA11P",2.72044,2.08304,2.31125
"ABCA12",2.1678,1.82672,1.91257
"ABCA13",1.79445,1.86553,2.05647
"ABCA2",3.66672,3.83231,3.23098
"ABCA3",3.59315,3.12118,3.29694
"ABCA4",1.99493,1.65834,1.78424
"ABCA5",2.41584,2.85647,2.87602
"ABCA6",1.91545,2.46371,2.09123
"ABCA7",3.63051,3.22684,3.46461
"ABCA8",2.25515,1.95156,2.18001
"ABCA9",2.2895,2.46259,2.51132
"ABCB1",1.95936,1.92379,2.43883
"ABCB10",3.97696,3.68081,3.69717
"ABCB11",1.63984,1.76056,2.14695
"ABCB4",1.66605,1.70279,1.37855
"ABCB5",1.87923,1.6261,1.62811
"ABCB6",2.98666,3.57331,3.41427
"ABCB7",1.70433,2.51434,2.50439
"ABCB8",4.16757,4.15422,4.29611
"ABCB9",2.24968,2.36431,2.33785
"ABCC1",3.73675,4.37666,4.54721
"ABCC10",3.49568,3.67779,3.70949
"ABCC11",2.4917,2.33798,2.41398
"ABCC12",2.03868,1.95412,2.0465
"ABCC13",1.81262,1.77451,1.95779
"ABCC2",2.08212,2.06877,2.6773
"ABCC3",3.42678,3.059,3.30843
"ABCC4",5.99132,5.18216,5.92856
"ABCC5",2.67204,3.65547,3.18717
"ABCC6",3.34485,2.88581,2.98015
"ABCC6P2",3.97937,3.64641,4.0896
"ABCC8",2.96228,2.96635,2.76279
"ABCC9",3.21373,3.46023,3.17367
"ABCD1",2.5616,2.91996,2.49578
"ABCD2",1.91548,1.44975,1.56399
"ABCD3",3.38298,3.42773,3.32758
"ABCD4",2.39347,2.92685,3.14692
"ABCE1",2.91513,2.90805,2.96826
"ABCF1",4.64287,4.59865,5.1807
"ABCF2",3.78877,3.1706,3.84919
"ABCF3",3.6108,3.57826,3.7863
"ABCG1",2.98136,2.04589,2.56392
"ABCG2",2.59375,2.94046,2.20026
"ABCG4",3.57277,3.52467,3.83347
"ABCG5",1.85806,2.0246,2.3084
"ABCG8",2.87142,2.13017,2.49086
"ABHD1",2.31193,2.45779,2.42243
"ABHD10",2.03799,2.74406,2.3104
"ABHD11",4.18685,4.00204,4.40009
"ABHD12",4.34433,4.33551,4.19418
"ABHD12B",2.09516,2.06607,2.2698
"ABHD13",4.12197,3.58903,3.55152
"ABHD14A",3.86696,3.77513,4.36975
"ABHD14B",3.67572,3.29281,3.91677
"ABHD15",3.19951,3.62621,3.7792
"ABHD2",5.6795,5.24527,5.63072
"ABHD3",2.58463,2.1529,2.93894
"ABHD4",3.36591,3.45213,3.43383
"ABHD5",3.21261,3.40916,3.04899
"ABHD6",2.29454,2.11272,2.16566
"ABHD8",3.78614,3.39034,3.39912
"ABI1",5.11375,5.30226,4.6184
"ABI2",4.59864,5.44055,4.82808
"ABI3",3.68694,3.3922,3.56985
"ABI3BP",4.4151,4.04197,4.37553
"ABL1",4.85458,4.94477,4.84952
"ABL2",4.16619,3.40921,3.93799
"ABLIM1",3.96618,3.78701,3.78475
"ABLIM2",3.49114,4.07022,3.44587
"ABLIM3",3.52071,4.45492,4.57595
"ABO",4.01401,3.99702,3.89164
"ABP1",2.96672,2.77314,3.33035
"ABR",4.28622,4.50471,4.11098
"ABRA",2.43553,2.24408,2.55545
"ABT1",2.90915,3.02358,2.78174
"ABTB1",3.03696,3.23915,3.17591
"ABTB2",2.97836,3.1086,3.04156
"ACAA1",2.73165,3.18071,3.18494
"ACAA2",3.84087,3.26113,2.84613
"ACACA",4.23469,4.69133,4.73897
"ACACB",3.03092,3.49879,2.95682
"ACAD10",3.05122,3.57234,2.66567
"ACAD11",2.30202,3.59222,2.49743
"ACAD8",4.2695,4.29257,4.69953
"ACAD9",2.94306,3.03084,3.19341
"ACADL",3.35444,3.66132,4.5748
"ACADM",3.48106,3.99082,3.16155
"ACADS",3.6298,3.4158,3.63544
"ACADSB",4.09887,4.67127,4.2945
"ACADVL",5.7815,5.72913,4.40206
"ACAN",2.77673,2.64962,3.05797
"ACAP1",3.57403,3.43121,3.64756
"ACAP2",3.8282,4.76276,4.20473
"ACAP3",3.21255,3.13542,3.49123
"ACAT1",2.32152,3.04767,2.46545
"ACAT2",3.25626,3.87636,3.25139
"ACBD3",5.61369,5.06579,4.76569
"ACBD4",3.82908,4.13671,3.84927
"ACBD5",2.36641,2.8888,3.05531
"ACBD6",3.09552,3.13496,3.07098
"ACBD7",1.58229,1.4249,1.51754
"ACCN1",2.54111,2.59637,2.73644
"ACCN2",2.73386,2.4741,2.83657
"ACCN3",4.16682,4.0649,4.55988
"ACCN4",1.78488,1.95958,2.18627
"ACCN5",1.63037,1.46784,1.75459
"ACCS",3.50381,3.62651,3.4817
"ACCSL",2.38608,2.33495,2.52036
"ACD",4.52197,4.38097,4.78325
"ACE",3.15538,2.95073,3.07321
"ACE2",1.75297,1.92385,2.18113
"ACER1",2.47518,2.7177,3.05601
"ACER2",3.43264,3.11774,3.09969
"ACER3",2.89394,3.47434,3.57779
"ACHE",3.44655,2.5112,2.7065
"ACIN1",5.04094,5.44547,4.95328
"ACLY",5.96982,4.54551,5.41851
"ACMSD",1.55022,1.75655,2.18221
"ACN9",2.12659,2.10555,2.00016
"ACO1",3.73685,4.14184,3.74401
"ACO2",4.10239,4.32852,3.66193
"ACOT1",2.73188,2.67804,3.71465
"ACOT11",3.21747,3.27435,3.51194
"ACOT12",2.08201,1.72149,2.03736
"ACOT13",4.73729,4.50912,3.94207
"ACOT2",3.61664,3.72361,3.67108
"ACOT4",1.69219,2.13888,2.31298
"ACOT6",2.84107,2.7148,2.76008
"ACOT7",4.19844,3.91511,4.29813
"ACOT8",3.77429,3.00652,3.27219
"ACOT9",4.09426,3.74569,3.40862
"ACOX1",4.47531,4.38018,4.0666
"ACOX2",3.39863,3.5328,3.27576
"ACOX3",4.01696,3.96016,4.05589
"ACOXL",2.9082,2.54006,2.58819
"ACP1",4.77759,4.47272,4.67219
"ACP2",3.91628,4.32775,4.02783
"ACP5",3.58186,2.89321,2.75943
"ACP6",3.38852,3.26075,3.15455
"ACPL2",3.26454,3.2853,3.60441
"ACPP",9.45845,8.53718,9.67314
"ACPT",4.13722,4.13173,4.57695
"ACR",3.92022,3.76341,4.29406
"ACRBP",3.64619,3.35119,3.4446
"ACRC",1.88717,2.13685,2.0962
"ACRV1",1.54304,1.50118,1.84715
"ACSBG1",2.4455,1.77487,2.45338
"ACSBG2",1.7434,1.81441,2.00005
"ACSF2",3.12822,3.30784,3.07578
"ACSF3",3.5547,3.14415,3.23008
"ACSL1",4.94892,3.43431,4.87169
"ACSL3",5.00016,5.34933,5.16446
"ACSL4",2.30551,2.31784,1.79554
"ACSL5",2.80663,3.0292,3.82108
"ACSL6",2.11522,2.08917,2.01364
"ACSM1",3.76123,4.2119,4.58008
"ACSM2A",2.40453,2.12459,2.48766
"ACSM2B",2.78851,2.19956,2.58633
"ACSM3",3.04095,3.39979,3.55339
"ACSM5",2.755,2.89988,3.14252
"ACSS1",4.34819,3.94907,3.95776
"ACSS2",3.91136,3.42297,3.28211
"ACSS3",3.21317,3.02045,3.1172
"ACTA1",4.22665,4.38954,4.2939
"ACTA2",6.41015,6.58794,5.91626
"ACTB",7.57608,7.55459,6.77608
"ACTBL2",2.17816,2.10302,2.35517
"ACTC1",3.02631,2.55342,2.69046
"ACTG1",6.53632,6.75361,5.92248
"ACTG2",8.12337,8.32108,7.44355
"ACTL6A",3.36216,3.4682,3.03259
"ACTL6B",3.46811,3.04367,3.22188
"ACTL7A",2.06865,1.64481,1.55842
"ACTL7B",3.1988,3.31336,4.13831
"ACTL8",2.39152,2.29656,2.80935
"ACTL9",3.80173,3.86175,4.15122
"ACTN1",6.18114,6.445,5.74631
"ACTN2",2.2315,1.66835,1.89611
"ACTN3",2.31787,2.57314,2.1867
"ACTN4",5.74827,5.87349,5.37632
"ACTR10",3.67832,3.59671,3.33159
"ACTR1A",3.01072,4.16126,3.13655
"ACTR1B",3.10495,3.99928,3.28338
"ACTR2",6.8258,6.54528,6.69292
"ACTR3",4.88726,5.17006,4.4172
"ACTR3B",2.53897,2.30142,2.91846
"ACTR3BP2",1.30381,1.24475,1.56319
"ACTR3C",2.59477,3.42681,3.55053
"ACTR5",2.42353,2.25972,2.65815
"ACTR6",2.47775,2.27882,2.48268
"ACTR8",2.68468,3.28378,2.5242
"ACTRT1",1.50784,1.84742,1.91056
"ACTRT2",2.32557,2.3186,2.00947
"ACVR1",2.79321,2.47958,2.90265
"ACVR1B",3.94747,3.60614,3.57429
"ACVR1C",2.17615,2.22898,2.54039
"ACVR2A",3.39595,3.54034,2.76983
"ACVR2B",2.8973,2.51315,3.49875
"ACVRL1",4.09915,3.74299,4.06423
"ACY1",4.35391,4.23733,4.3428
"ACY3",2.89034,2.98728,2.99972
"ACYP1",3.60347,3.68134,3.79057
"ACYP2",4.51158,4.32621,4.57037
"ADA",2.64199,2.60503,1.90062
"ADAD1",1.19679,1.53592,1.26476
"ADAD2",3.48006,3.53959,3.9717
"ADAL",2.54403,2.28799,2.35199
"ADAM10",5.61379,5.53347,5.61358
"ADAM11",3.72977,3.23132,4.20351
"ADAM12",1.84754,2.28967,1.88438
"ADAM15",4.16059,3.87955,3.65884
"ADAM17",4.15797,3.52633,4.45848
"ADAM18",1.95194,1.70157,1.54872
"ADAM19",3.78384,3.79134,3.56279
"ADAM2",1.62384,1.63655,1.57917
"ADAM20",2.29814,3.66244,2.60005
"ADAM21",1.81503,2.43571,2.08288
"ADAM22",3.28645,3.84582,2.87291
"ADAM23",2.08644,1.93179,1.99991
"ADAM28",3.55409,2.8334,3.26001
"ADAM29",1.95063,2.24311,2.09763
"ADAM30",2.10263,2.34795,2.26862
"ADAM32",1.77359,2.25245,1.92852
"ADAM33",5.03925,5.5037,4.3266
"ADAM3A",2.06555,1.57155,1.53446
"ADAM5P",1.4344,1.36501,1.19104
"ADAM6",2.37487,2.05896,2.49926
"ADAM7",1.79019,1.87357,1.73411
"ADAM8",3.72106,3.08618,3.51512
"ADAM9",4.19957,3.77571,3.91918
"ADAMDEC1",1.83813,2.14783,1.97172
"ADAMTS1",5.63495,3.49323,5.35528
"ADAMTS10",3.62791,3.68948,3.67395
"ADAMTS12",2.85134,2.60184,2.69052
"ADAMTS13",3.48195,3.05904,3.25935
"ADAMTS14",3.027,3.5475,3.11848
"ADAMTS15",3.31002,3.06126,3.56278
"ADAMTS16",2.66292,2.57991,3.23477
"ADAMTS17",2.60525,2.69192,3.0177
"ADAMTS18",2.38312,2.1351,2.34805
"ADAMTS19",2.17061,2.40738,2.47472
"ADAMTS2",3.21273,3.2182,3.16551
"ADAMTS20",1.85626,1.55064,1.77516
"ADAMTS3",3.05898,2.8877,2.47297
"ADAMTS4",4.62828,2.80928,3.76601
"ADAMTS5",3.60521,2.7783,2.90274
"ADAMTS6",1.724,1.75975,2.08551
"ADAMTS7",4.50385,4.7599,4.77247
"ADAMTS8",3.57192,3.01081,2.75474
"ADAMTS9",4.07436,2.99887,3.81118
