"Feature_name","GSM2083867","GSM2083883","GSM2083900","GSM2083905","GSM2083945","GSM2083957","GSM2083967","GSM2083971","GSM2083975","GSM2083989"
"A1BG",4.05363,4.02176,3.66362,3.932,3.98377,3.54049,3.98257,4.1797,4.11001,4.04368
"A1CF",1.95828,2.07955,1.83793,2.60624,1.78739,1.71447,1.83331,2.07471,2.04799,1.98838
"A2LD1",3.44336,3.72884,3.8394,3.60709,3.46889,3.51225,3.7398,3.37569,3.60626,3.60601
"A2M",5.71303,6.36665,5.7941,6.17325,7.42059,7.04542,5.84887,5.36213,5.878,5.73637
"A2ML1",2.52155,2.66524,2.28416,2.34194,2.13697,2.21646,2.52888,2.90664,2.26319,2.2516
"A4GALT",3.25246,3.276,3.19283,3.65769,3.44424,2.3597,3.29179,3.168,3.73727,3.26921
"A4GNT",1.79361,1.82295,1.8308,1.58722,1.82331,1.90448,2.10291,1.89425,2.06555,1.95291
"AAA1",1.94355,1.90019,1.94797,1.94414,1.73412,2.01851,2.08234,1.92056,2.31741,1.82054
"AAAS",4.47156,4.48846,4.59898,3.87954,4.31314,4.75552,4.23936,4.57212,4.33017,4.51517
"AACS",3.01112,4.3719,3.02006,3.18845,3.50006,3.18803,2.85513,3.43362,3.38124,3.14331
"AADAC",0.828673,1.15278,0.888034,1.11827,1.07172,1.22772,1.10151,1.19517,1.18772,0.983267
"AADACL2",1.73181,1.29118,1.3615,1.32817,1.42529,1.38318,1.85026,1.9375,1.76639,1.75696
"AADACL3",1.88095,2.54398,1.31992,1.74114,2.20969,2.45763,1.94802,2.57131,2.76805,2.44898
"AADACL4",1.22661,1.43007,1.22971,1.51665,1.40554,1.3121,1.61879,1.2538,1.65221,1.19652
"AADAT",3.82079,3.49034,4.3241,4.66729,3.65357,4.46596,4.24752,4.28892,3.99611,3.93603
"AAGAB",4.0536,3.31546,3.98787,2.51918,3.29472,3.53152,3.20054,3.27805,3.35791,3.31407
"AAK1",4.5561,4.41916,4.82868,4.70019,4.76592,5.77994,4.59135,4.72819,4.85796,5.26355
"AAMP",4.19841,4.04559,4.07325,4.55893,4.01482,4.10805,3.92508,3.77056,4.09906,4.03687
"AANAT",3.52519,3.28743,2.97635,3.68824,3.16358,3.50438,3.39572,3.0088,3.46163,3.27882
"AARS",4.67314,4.88498,5.03169,4.34173,4.74849,4.88239,4.36268,4.12316,4.53032,4.71043
"AARS2",2.70124,2.27041,2.63057,2.51659,2.34952,2.53086,2.89778,2.78226,2.51863,2.2397
"AARSD1",3.26026,3.2736,3.40905,3.19075,3.61805,3.41432,3.43669,2.96844,3.15073,3.45933
"AASDH",2.41905,2.43293,2.489,2.6402,2.02586,2.91243,2.5728,2.90405,2.41527,2.18399
"AASDHPPT",3.32787,2.80084,3.07089,2.8675,3.5592,3.4445,3.49023,2.64418,2.50957,3.02228
"AASS",3.79065,3.61386,4.02935,4.32712,4.2778,3.91558,4.17972,3.89305,3.89005,4.0695
"AATF",4.74585,4.84541,4.80606,4.85191,4.39124,4.16115,4.16165,4.17847,4.52911,4.96086
"AATK",3.01898,3.063,3.43332,2.97699,3.2325,2.88013,3.58805,3.21715,3.25812,3.35385
"ABAT",4.10661,3.66676,4.46181,4.1364,3.95114,4.59202,4.13013,3.48229,3.67625,4.20856
"ABCA1",2.91902,2.7252,3.04471,3.16045,3.1138,2.42817,3.00581,2.87939,2.68639,2.94856
"ABCA10",1.36651,1.49515,1.53262,1.59004,1.41599,1.37896,1.29384,2.01172,1.45608,1.62357
"ABCA11P",2.30081,2.14899,2.94224,2.79317,2.26005,2.21855,2.06511,1.82715,2.50283,1.94316
"ABCA12",1.56779,1.94131,1.644,1.59358,1.86188,1.61173,1.93356,1.73975,2.02257,1.82635
"ABCA13",1.7451,1.98847,1.7401,1.88233,1.76872,1.99802,1.80559,1.8718,1.85739,1.80754
"ABCA2",4.03651,3.90793,3.65372,3.91924,3.55764,3.42266,3.68789,4.12267,3.78885,3.55674
"ABCA3",3.21024,3.06331,2.94536,3.21339,2.75532,3.07475,3.44621,3.46635,3.09603,2.81082
"ABCA4",1.77739,1.7229,1.4595,1.6004,1.86897,1.56183,1.58471,1.66769,1.94811,1.66811
"ABCA5",3.12634,2.76307,3.4549,2.86872,2.8664,3.06901,2.50941,2.7061,3.08297,2.79161
"ABCA6",1.68084,1.96774,1.91636,2.52787,2.82602,2.35963,1.92847,2.47343,1.81316,2.32303
"ABCA7",3.50779,3.40551,3.20771,3.39749,3.34818,3.15539,3.69213,3.46712,3.3784,3.51972
"ABCA8",2.48265,1.79948,2.72316,2.71198,2.59033,2.59586,2.47127,3.6619,2.14707,2.63991
"ABCA9",1.97706,2.26145,2.31803,2.16102,3.11089,2.38528,2.30866,2.37878,2.59175,2.53368
"ABCB1",2.12151,2.22586,2.32283,2.29731,2.59673,1.85854,1.985,2.38098,2.18153,2.37601
"ABCB10",4.0989,4.0251,4.07509,3.98256,4.10427,4.02577,3.93216,4.09413,3.84693,4.05551
"ABCB11",1.39754,1.53537,1.53586,1.49667,1.56439,1.69046,1.83884,1.44433,1.6283,1.76126
"ABCB4",1.58565,1.43043,1.32338,1.39217,1.32275,1.5689,1.42471,1.49953,1.696,1.32084
"ABCB5",1.61444,1.67039,1.71282,1.56955,2.05326,1.81936,1.58461,2.01477,1.69728,1.76531
"ABCB6",3.65913,3.21383,3.4185,3.26982,3.31673,3.12362,2.92129,3.25761,3.36977,3.08799
"ABCB7",2.52557,2.00722,2.92166,2.46588,2.52124,2.5266,2.61623,2.97318,2.26554,2.43762
"ABCB8",4.4123,4.243,3.96479,4.40429,4.18779,4.16747,4.30972,3.99649,4.22565,4.34635
"ABCB9",2.32128,2.26617,1.85729,2.25648,2.26289,2.21632,2.28588,1.99455,2.79719,2.37355
"ABCC1",4.58689,4.68586,4.25673,4.17465,3.92247,4.62722,4.31885,4.20456,3.70368,4.53288
"ABCC10",3.4248,3.36798,3.10263,3.48456,3.51796,3.31975,3.23055,3.49893,3.36242,3.2903
"ABCC11",2.03412,2.28533,2.05975,2.15416,1.96481,2.36876,3.19103,1.81806,2.3961,2.1913
"ABCC12",1.91478,2.04474,1.87072,2.145,1.9873,1.84803,2.13316,2.01099,2.03786,1.77852
"ABCC13",1.60639,1.77312,1.56075,1.53618,1.85959,1.77679,1.80911,1.77679,1.73345,1.64527
"ABCC2",2.15187,2.21616,1.81532,1.85289,1.72239,2.19699,2.10786,2.0653,2.40404,2.03622
"ABCC3",3.47763,2.88142,2.77014,2.95957,3.3636,3.1183,3.58293,3.14752,3.47376,3.2715
"ABCC4",6.52658,6.93102,6.23216,4.62273,3.84255,7.03624,6.86371,4.72138,5.5872,5.58057
"ABCC5",3.43188,4.42093,3.21076,3.60974,3.90727,3.20626,3.47003,3.00861,2.69575,3.07379
"ABCC6",3.15414,3.17134,3.09044,3.51872,3.09816,3.11148,3.16753,2.73141,3.20394,3.03879
"ABCC6P2",4.57632,3.94774,4.23435,3.99369,4.34293,3.96986,3.65906,3.84643,4.10985,4.22358
