Selected,genes,-log10 (P_value),log2 (ratio)
No,AQP7,2.82611,0.6885
No,B3GAT3,1.84021,0.715004
No,B3GNT5,2.6786,1.32336
No,C21orf94,4.61571,1.30925
No,C6orf155,3.54413,0.815686
No,CSGALNACT1,2.62929,0.813511
No,CTAGE4,2.72753,0.798467
No,CXCL2,1.36822,0.767078
No,CYB5R1,3.57437,0.798228
No,DSERG1,2.30855,1.04543
No,EMP1,1.52963,0.943411
No,FAM177B,1.41227,0.701035
No,FLJ39632,1.48512,0.842512
No,GAFA3,2.30059,0.756381
No,GLRX,1.99303,0.723919
No,GNA11,2.40872,-0.750981
No,GPCPD1,1.38701,-0.670394
No,HADHA,1.61844,-0.673839
No,HERC6,3.87478,0.952376
No,HINT1,1.75085,-0.702689
No,IFI44,4.36168,1.03266
No,IFI44L,4.67905,1.1978
No,IFI6,2.79242,0.920823
No,IFIT1,4.1021,1.35408
No,IFITM1,2.5857,0.994827
No,INE1,1.5251,0.717937
No,IRF1,2.33266,1.01748
No,ITPKC,2.16576,0.718084
No,JUNB,1.34876,0.810328
No,LMNA,1.82717,0.786346
No,LOC100127980,2.01302,0.753254
No,LOC100132992,1.79568,-0.680489
No,LOC100287879,3.73256,0.727805
No,LOC162632,1.95315,1.03553
No,LOC285456,5.81724,1.42037
No,LOC388022,4.2036,1.29076
No,MANSC1,4.72922,0.854538
No,MFSD6,3.25821,0.713949
No,MIR100,4.35981,1.9241
No,MIR19B2,4.88606,0.806213
No,MIR21,1.64956,1.18143
No,MIR222,2.25897,1.12297
No,MIR24-2,8.35274,2.07483
No,MIR28,2.21773,0.917119
No,MIRLET7E,3.18384,0.943206
No,MT1M,5.10676,1.25192
No,MUC3A,2.22528,1.76386
No,MX1,2.97976,0.893218
No,MX2,3.32191,0.707145
No,NAMPT,1.74342,1.05823
No,NFIL3,2.17309,1.05919
No,NTF3,2.1418,0.676915
No,OR5E1P,2.51516,0.825966
No,PARP9,3.36422,0.776428
No,PBOV1,3.19269,1.43504
No,PDAP1,2.75374,-0.791098
No,PDK4,1.77302,1.23216
No,PELI1,1.43921,0.817517
No,PIGA,3.88128,0.676562
No,PLAC4,3.5788,1.7839
No,PLSCR1,4.02814,1.15117
No,PPM1B,5.2087,0.665913
No,PPP2CB,1.90463,-0.682604
No,REXO1L1,4.35016,1.01948
No,RP9,1.87765,-0.689403
No,RPL23P8,1.64649,-0.694162
No,RPS12,2.21178,-0.668924
No,SNORA69,3.17991,0.840651
No,SNORD109A,1.97278,0.992768
No,SNORD116-16,3.01796,1.41649
No,SNORD116-18,2.17846,1.26849
No,SNORD116-22,2.17583,1.06874
No,SNORD116-28,1.39797,0.927107
No,SNORD28,1.64932,0.876727
No,SNORD33,2.38322,0.687265
No,SOCS3,2.8753,1.24056
No,STX19,1.60679,0.669898
No,TCTEX1D4,2.35582,0.798396
No,TFCP2L1,1.61443,0.741112
No,TIPARP,2.7384,1.16664
No,TMEM14E,2.228,0.760636
No,TPTE2P3,2.79693,0.919294
No,TRMT12,4.16385,0.986261
No,VTRNA1-1,4.41037,1.31225
No,VTRNA1-3,2.72651,0.68642
No,XAF1,2.89819,0.95653
No,ZNF649,2.05996,0.752153
No,ZNF814,1.597,0.926604
