Selected,genes,log2 (ratio),-log10 (P_value)
No,AEBP1,0.788182,1.31313
No,ANXA2P2,0.747333,1.52806
No,ARHGAP30,0.669858,2.07244
No,ATP12A,0.735177,3.29911
No,BDH2,0.872509,1.91098
No,C3AR1,0.962701,2.89438
No,CES3,0.745997,4.65261
No,CHST15,0.662744,1.39403
No,CHST5,0.772807,3.49064
No,CLDN9,-0.677034,1.40152
No,DBP,0.81191,3.88986
No,DLEU2L,1.27311,2.52854
No,DUSP8,0.827518,3.11514
No,EFHD1,0.662482,2.43634
No,F2RL3,0.711865,4.17029
No,FHDC1,0.661825,1.87202
No,FLJ38894,0.781849,2.9137
No,FLJ45825,0.794596,1.95506
No,FOXI1,0.716238,4.84822
No,GPR141,0.723679,2.05585
No,GRLF1,0.686691,1.75605
No,GSTM4,0.791247,1.44928
No,HECA,0.751011,2.91108
No,HIST1H2BE,0.90616,1.79431
No,IFITM3,0.824932,1.41979
No,ITGA9,0.726844,1.63037
No,KLHDC5,0.765079,3.27887
No,LGALS16,1.87976,35.9902
No,LOC100131138,0.681322,2.74739
No,LOC391169,0.967818,1.79567
No,MARVELD1,0.69851,1.42637
No,MMRN2,-0.672537,1.55429
No,MYOF,0.73163,1.33897
No,NCRNA00116,0.803854,2.51611
No,NCRNA00241,0.863309,3.33748
No,NCRNA00260,0.688554,1.39952
No,NCRNA00286A,-0.773945,1.51193
No,OR2K2,0.771653,3.0839
No,OR5M10,0.781327,1.54271
No,PLAC8,0.988359,4.06867
No,PRO2964,1.47413,7.28114
No,RHO,0.826618,3.50132
No,SBK2,0.676902,2.48441
No,SDHD,0.779495,2.05441
No,SFMBT2,0.731878,1.63256
No,SLFN5,0.788356,2.01458
No,SNORD116-6,-1.22388,1.38378
No,SPAG7,0.665293,3.04341
No,TMEM63A,0.741651,1.61407
No,TNFAIP8L1,0.835014,3.8336
No,TRPV1,-0.693091,2.25045
No,ZDHHC14,0.721172,1.75068
No,ZNF211,0.668403,1.92385
No,ZNF691,0.687898,3.1975
No,ZNF865,0.844117,1.93417
No,ZSCAN5C,0.75552,1.97468
