Selected,genes,log2 (ratio),-log10 (P_value)
No,ACADVL,0.80764,1.504
No,ACER3,1.40483,1.31851
No,ACTG1,0.82704,1.57752
No,ADAM28,2.64472,8.13268
No,ADAMTS16,0.749646,2.30173
No,ADH1A,0.952232,2.15405
No,ADH1C,4.5417,16.6451
No,ADRB1,0.853169,3.19101
No,AGPAT5,0.808287,3.55014
No,AGR2,1.3955,1.71753
No,AKR1C1,-0.902604,1.95304
No,ALDH3B2,-0.729902,1.46892
No,AMBP,0.950491,3.76755
No,ANAPC11,-0.696281,2.28949
No,ANK3,1.06084,2.76045
No,ANKLE2,0.666569,2.07329
No,ANKRD12,-1.19324,2.38858
No,ANKRD18A,-0.823704,1.55696
No,ANKRD37,1.0273,1.85606
No,APLP2,1.09065,2.55224
No,APOL1,0.970061,1.49158
No,APOL2,0.755051,1.94315
No,APPBP2,-0.693423,1.38392
No,ARF6,0.66368,1.61192
No,ARFIP2,0.867401,2.10401
No,ARHGAP26,0.814682,2.30987
No,ARL15,1.02049,1.90336
No,ARL2BP,-0.928768,1.53286
No,ARL5B,1.03808,3.24073
No,ARL8B,-0.761264,1.39159
No,ARPC4,-0.901402,1.58208
No,ARRDC4,1.23224,6.5516
No,ASAH1,1.11817,5.09425
No,ATP6V1B2,0.855168,2.19693
No,AUTS2,0.700141,2.22188
No,AWAT1,0.67155,1.67657
No,B3GNT6,0.734535,2.65668
No,BAZ2A,0.903138,4.41544
No,BCAS1,1.66706,3.70139
No,BCL2L2,-0.753471,1.50453
No,BICD1,1.42746,3.93661
No,BRAP,1.0459,2.70446
No,BRCC3,1.22693,3.57027
No,BRD9,0.822949,1.41827
No,BTG3,0.958084,1.82712
No,C10orf81,2.12277,3.45107
No,C11orf24,1.13289,4.43791
No,C11orf67,0.766509,2.11435
No,C13orf33,0.704476,1.9231
No,C14orf1,0.979832,2.87168
No,C14orf167,-0.835965,1.49834
No,C15orf43,1.88031,9.54819
No,C15orf55,0.701736,4.44722
No,C15orf57,0.858784,1.92782
No,C15orf63,0.798301,1.80931
No,C16orf61,-1.07644,1.90512
No,C17orf105,0.906958,3.85383
No,C17orf81,0.728663,3.31064
No,C19orf67,0.739576,4.27493
No,C20orf111,0.816965,1.54653
No,C20orf203,0.723324,1.51279
No,C20orf3,1.15653,4.20483
No,C20orf96,0.78125,2.06031
No,C21orf119,0.861666,3.06959
No,C21orf57,0.884717,1.31175
No,C3AR1,0.940125,2.22006
No,C4orf3,-1.61219,1.8266
No,C5orf25,0.815764,3.21269
No,C5orf34,0.886229,4.05193
No,C5orf48,0.738169,3.11664
No,C7orf42,-0.839651,4.01356
No,C7orf60,-0.660984,1.37021
No,C7orf66,0.914413,4.37372
No,C8orf22,0.849198,4.30399
No,C8orf4,3.13748,6.32376
No,C8orf47,0.944307,2.27116
No,C9orf171,0.840015,2.99964
No,C9orf38,0.776643,2.15853
No,C9orf85,0.999483,1.79017
No,CBFA2T2,0.997013,2.2416
No,CBX4,0.735653,1.69935
No,CCDC14,-1.0789,1.98173
No,CCDC41,1.47966,5.48849
No,CCL11,1.40239,8.14984
No,CCL2,1.89053,1.71759
No,CCNE1,0.7115,2.66
No,CCNT2,0.714409,2.32482
No,CD300E,1.09793,3.98324
No,CD52,1.27471,1.98128
No,CD63,0.817518,2.43583
No,CDCA8,-0.807543,1.30274
No,CDKL1,0.728239,2.62455
No,CELF1,-0.729063,1.30723
No,CEP57,-1.43015,1.85604
No,CHD6,0.771171,2.0689
No,CHMP7,0.722743,4.22794
No,CHPF,0.796826,3.12079
No,CITED1,1.10462,2.78428
No,CKS2,1.79568,4.91851
No,CLASP2,-0.825787,1.46208
