Selected,genes,log2 (ratio),-log10 (P_value)
No,ADAM28,0.672509,3.39493
No,ADH1C,1.84681,4.23709
No,BMP5,0.825711,1.7424
No,CDR1,0.765073,1.81364
No,CSGALNACT1,-0.808787,1.50843
No,EFEMP1,0.750264,2.5859
No,EGR3,0.698786,1.86147
No,FABP5,1.39604,2.00592
No,GBP3,1.13251,4.76741
No,GLB1L3,1.00341,1.58713
No,KIAA1324,-0.828425,2.33085
No,LUM,0.704504,1.67075
No,MPPED2,0.763865,2.19649
No,OCLN,0.890944,1.51211
No,ODC1,-0.949378,1.37548
No,OR51G2,-0.83023,1.49039
No,OR52R1,-0.858673,1.58855
No,OSR1,0.723247,4.55334
No,PI15,1.17147,1.58027
No,PRAC,-0.670376,1.53016
No,PRR16,0.988773,2.47147
No,PSCA,0.660743,2.82307
No,PTPRR,0.975682,3.39083
No,RCOR3,1.37737,4.19155
No,RORB,0.980641,4.67543
No,SCGB1A1,3.24466,4.1373
No,SLC2A3,0.690074,2.13597
No,SNORD113-4,1.64313,8.02454
No,SNORD115-41,0.882102,1.47787
No,SNORD116-18,1.08679,1.99699
No,SNORD116-21,0.888294,4.81327
No,SNORD78,0.73278,2.43294
No,SPOCK1,-0.749677,1.3219
No,SULF1,0.761612,2.52334
No,UGT2B4,2.88771,3.99029
No,UGT2B7,1.10713,3.93037
No,VCAN,0.910908,2.29183
No,WEE1,0.803351,2.49448
