name,logFC,DE_class
ADAMTS13,-7.213240015957467e-6,NS
LPPR2,9.490713992699185e-6,NS
MED7,-1.3468002739713825e-5,NS
KRT31,-2.4048372870622003e-5,NS
GRN,2.500588112397395e-5,NS
PKD2L2,-2.5315662974367825e-5,NS
CHKB-CPT1B,-2.8141493788158556e-5,NS
P4HA2,2.9099324757142497e-5,NS
G3BP1,3.428938831895323e-5,NS
MRPS12,3.6043057842549686e-5,NS
MAP2K7,3.866827814680285e-5,NS
DEPDC1B,4.228781261761405e-5,NS
PWP2,-4.248747076784909e-5,NS
BBS5,4.674693326878199e-5,NS
C11orf54,5.841957709051826e-5,NS
SPAG1,-6.0863796721211116e-5,NS
ACTC1,-6.503460097762037e-5,NS
ZC3H12D,6.534768663324364e-5,NS
FABP6,-7.08639648938636e-5,NS
HUNK,-7.520891620504955e-5,NS
FOXL2,7.679116553305221e-5,NS
RABL5,-7.892816926857726e-5,NS
ZNF177,-8.12140680186424e-5,NS
TMEM160,8.127457618334333e-5,NS
IGHV3-48,8.178109362422248e-5,NS
TSPAN12,-8.67262250858758e-5,NS
BTAF1,8.908805133867048e-5,NS
KRT86,-8.93877088736783e-5,NS
TARS2,-9.352208911583837e-5,NS
PITRM1,-9.744439764025614e-5,NS
CEP192,1.0920969684269366e-4,NS
PHYHIPL,1.094200130662415e-4,NS
KCNH2,-1.1094549329393466e-4,NS
TAAR1,1.2362530496079494e-4,NS
SSBP3,-1.3719186363481128e-4,NS
TEX28,-1.4009515763224734e-4,NS
JARID2,1.4445989301759e-4,NS
KNDC1,-1.48147466086046e-4,NS
GBA3,-1.530413238416406e-4,NS
CCDC81,-1.56597562935179e-4,NS
PP13004,1.5829946513923332e-4,NS
LOC100508018,1.6187901640618563e-4,NS
FMN1,1.662560167055016e-4,NS
SAMD5,1.668445420255349e-4,NS
NEK6,-1.8527184672034736e-4,NS
FGF8,1.941305586057318e-4,NS
ALX3,1.977474209089447e-4,NS
ZNF155,1.9967686060606837e-4,NS
SNORD115-21,-2.0366182937503474e-4,NS
PPP1R12C,-2.254870015492294e-4,NS
OR6N1,2.2851347279218004e-4,NS
MAML3,2.3301425202104653e-4,NS
MAEA,-2.3395701773010202e-4,NS
BDNF,2.3423544161738086e-4,NS
C7orf50,-2.356609596589898e-4,NS
ZAR1,-2.4093700409366647e-4,NS
JMJD5,-2.4159036838700132e-4,NS
RNASEH2B,-2.4342644041586148e-4,NS
DBNDD1,-2.532003452606624e-4,NS
FBLN5,-2.5520658731448265e-4,NS
WNT9A,2.6800966887563504e-4,NS
MIR185,2.7130621835658175e-4,NS
RBPMS,2.787960763477315e-4,NS
SCUBE1,2.8869371732165305e-4,NS
TNIP3,-2.9707216773089407e-4,NS
ESAM,-3.026427612764504e-4,NS
AIM1,-3.0380227867299325e-4,NS
MSH5,-3.055239661486908e-4,NS
BGLAP,3.0869545484346617e-4,NS
AEBP2,-3.2383543270020354e-4,NS
SUV420H2,3.2852024891893983e-4,NS
CTDSP2,3.321807648073438e-4,NS
TRIB2,3.3258158420745865e-4,NS
GRRP1,3.370064342456125e-4,NS
XRCC5,-3.3812660489473956e-4,NS
TNFRSF10D,3.4204901413215083e-4,NS
SNORA49,-3.4902035180905955e-4,NS
CDK5R1,3.513785408613135e-4,NS
CENPH,-3.518030881619616e-4,NS
CCDC87,3.6204232576264594e-4,NS
SP110,3.632704201503856e-4,NS
ATRNL1,-3.7305642027374297e-4,NS
SIGLEC15,3.7337662054315324e-4,NS
OR2T10,-3.738392314369676e-4,NS
UCN3,4.002152460795827e-4,NS
NUMB,4.263750785629128e-4,NS
TRAJ17,4.316098121064371e-4,NS
FLJ33544,4.321525201340659e-4,NS
MIOS,4.3323315256227346e-4,NS
SUPT4H1,4.4163544960307277e-4,NS
EPHA7,-4.4524861424521944e-4,NS
GPR176,4.488280243986065e-4,NS
POLR2E,-4.5396955466570077e-4,NS
LRRC4B,-4.583729791440838e-4,NS
GPRC6A,-4.647042383850164e-4,NS
HLA-DOA,4.6544360062572565e-4,NS
LCMT2,4.7312461049942023e-4,NS
PEMT,-4.748296327634627e-4,NS
LCE2B,4.753604374316822e-4,NS
DDX52,-4.911927510780068e-4,NS
MADCAM1,4.990520370591334e-4,NS
FAM92A1,-5.009886347364656e-4,NS
ELOVL5,-5.098389832807193e-4,NS
ALG12,5.120619235046142e-4,NS
GPR183,5.43993133013343e-4,NS
PDHB,5.604665822878108e-4,NS
