gene,log2FC,pvalue,negLog10P,significance,|log2FC|
MIR24-2,1.12555688023042,0.108169140334681,0.965896621798205,NS,1.12555688023042
MIR186,-0.85630055277882,0.000923784704114049,3.0344292330116,Down,0.85630055277882
MIR100,0.856123468596035,0.450041942328608,0.346747009617891,NS,0.856123468596035
C21orf94,0.736867292372654,0.347203207220781,0.459416271767855,NS,0.736867292372654
LOC285456,0.632163860305776,0.233302663232046,0.632080303553527,NS,0.632163860305776
SNORD115-38,0.630138924736883,0.210631837501697,0.676475983548106,NS,0.630138924736883
SNORD113-4,-0.583086068904643,0.0960668562182322,1.01742642132513,NS,0.583086068904643
MIR19B2,0.573167792086033,0.344720600892767,0.462532761887357,NS,0.573167792086033
SUMO1,-0.548829118086178,0.000704738382087735,3.15197207492678,Down,0.548829118086178
TPTE2P3,0.542239128808048,0.329606584654104,0.482004120851202,NS,0.542239128808048
ZNF443,-0.521391330161729,0.000357986560053737,3.44613327783676,Down,0.521391330161729
SNORD115-8,0.512246306989737,0.330003213046078,0.481481831633056,NS,0.512246306989737
IFIT1,0.477504038561907,0.409055393310032,0.38821787688279,NS,0.477504038561907
MIR222,0.475902366880237,0.484959655315315,0.314294389650797,NS,0.475902366880237
SNORD116-18,0.465016197734925,0.575536303269174,0.239927277052054,NS,0.465016197734925
SNORD37,0.459619095238353,0.000638768703864868,3.19465637004099,Up,0.459619095238353
PLAC4,0.456598404938606,0.267522554109126,0.572639597896115,NS,0.456598404938606
DKFZp686O24166,-0.450324660935574,0.00111916595303563,2.95110551030471,Down,0.450324660935574
IFI44L,0.448679415966952,0.294241030270708,0.531296767442255,NS,0.448679415966952
ROCK1P1,0.445706975582435,0.107550507869483,0.968387534468585,NS,0.445706975582435
SNORA16B,-0.444012043997517,0.000101023298399096,3.9955784559272,Down,0.444012043997517
B3GNT5,0.443362268654183,0.296939671881902,0.527331775699988,NS,0.443362268654183
MIR30E,-0.438365567238996,0.00246532705525307,2.60812545818402,Down,0.438365567238996
TRMT12,0.433808216365076,0.339779926864535,0.468802281468939,NS,0.433808216365076
